X.tool,seed,seq.tpr,seq.tnr,seq.ppv,seq.npv,seq.fpr,seq.fnr,seq.cover,sim.k0.tpr,sim.k0.tnr,sim.k0.ppv,sim.k0.npv,sim.k0.fpr,sim.k0.fnr,sim.k0.cover,sim.k1.tpr,sim.k1.tnr,sim.k1.ppv,sim.k1.npv,sim.k1.fpr,sim.k1.fnr,sim.k1.cover,sim.k5.tpr,sim.k5.tnr,sim.k5.ppv,sim.k5.npv,sim.k5.fpr,sim.k5.fnr,sim.k5.cover
raider   ,1^{2}0^{3}1^{3}0^{4}1^{4}0^{5}1^{5}0^{6}1^{6}0^{7}1^{7},0.23838,0.79178,0.17425,0.8494,0.20822,0.82575,NA,0.36751,0.94732,0.27758,0.96453,0.05268,0.72242,0.98062,0.37175,0.94698,0.27839,0.96478,0.05302,0.72161,0.980469,0.37152,0.9469,0.27795,0.96477,0.0531,0.72205,0.980458
raider2.1,1^{2}0^{3}1^{3}0^{4}1^{4}0^{5}1^{5}0^{6}1^{6}0^{7}1^{7},0.34013,0.78691,0.22733,0.86613,0.21309,0.77267,NA,0.45218,0.96861,0.44237,0.96979,0.03139,0.55763,0.983754,0.45278,0.9679,0.43698,0.96983,0.0321,0.56302,0.983821,0.45428,0.9695,0.45036,0.96996,0.0305,0.54964,0.983451
raider   ,1^{24}                                                 ,0.17423,0.91092,0.26499,0.85683,0.08908,0.73501,NA,0.15935,0.99424,0.60363,0.9555,0.00576,0.39637,0.967728,0.19295,0.99206,0.57198,0.95716,0.00794,0.42802,0.967788,0.1929,0.99205,0.57164,0.95716,0.00795,0.42836,0.967769
raider2.1,1^{24}                                                 ,0.27573,0.84774,0.25026,0.86395,0.15226,0.74974,NA,0.3812,0.98341,0.55868,0.9665,0.01659,0.44132,0.972643,0.39091,0.98253,0.55179,0.96702,0.01747,0.44821,0.972611,0.39051,0.98242,0.55001,0.96699,0.01758,0.44999,0.972611
raider   ,1^{4}0^{8}1^{5}0^{16}1^{6}0^{32}1^{7}0^{64}1^{8}       ,0.26086,0.74294,0.15757,0.84504,0.25706,0.84243,NA,0.26861,0.96878,0.32149,0.96008,0.03122,0.67851,0.993306,0.27057,0.96894,0.32402,0.96023,0.03106,0.67598,0.993051,0.27337,0.96842,0.3226,0.96035,0.03158,0.6774,0.993051
raider2.1,1^{4}0^{8}1^{5}0^{16}1^{6}0^{32}1^{7}0^{64}1^{8}       ,0.27745,0.82569,0.22683,0.86111,0.17431,0.77317,NA,0.33193,0.985,0.54937,0.96399,0.015,0.45063,0.99413,0.34749,0.9849,0.55881,0.96483,0.0151,0.44119,0.993886,0.34655,0.98495,0.55887,0.96478,0.01505,0.44113,0.993757
raider   ,1^{4}0^{8}1^{5}0^{17}1^{6}0^{32}1^{7}0^{64}1^{8}       ,0.26274,0.74377,0.15896,0.84552,0.25623,0.84104,NA,0.31731,0.96917,0.36177,0.96265,0.03083,0.63823,0.993367,0.32125,0.96927,0.36515,0.9629,0.03073,0.63485,0.993109,0.32117,0.96903,0.36329,0.96289,0.03097,0.63671,0.993109
raider2.1,1^{4}0^{8}1^{5}0^{17}1^{6}0^{32}1^{7}0^{64}1^{8}       ,0.27349,0.82576,0.22439,0.86046,0.17424,0.77561,NA,0.34212,0.98414,0.54299,0.96449,0.01586,0.45701,0.994083,0.35934,0.98403,0.55321,0.96542,0.01597,0.44679,0.993859,0.3583,0.98377,0.54852,0.96535,0.01623,0.45148,0.993477
raider   ,1^{5}01^{7}001^{7}01^{5}                               ,0.1932,0.87253,0.21836,0.85438,0.12747,0.78164,NA,0.24952,0.97704,0.37446,0.95941,0.02296,0.62554,0.964762,0.27334,0.97262,0.35454,0.96052,0.02738,0.64546,0.964762,0.27345,0.97256,0.35414,0.96052,0.02744,0.64586,0.964763
raider2.1,1^{5}01^{7}001^{7}01^{5}                               ,0.35049,0.82401,0.26851,0.87314,0.17599,0.73149,NA,0.47173,0.97199,0.48123,0.97094,0.02801,0.51877,0.971855,0.47428,0.97155,0.47839,0.97109,0.02845,0.52161,0.971598,0.47603,0.9716,0.47975,0.97118,0.0284,0.52025,0.971564
rep_scout,NA                                                     ,0.5545,0.85318,0.41042,0.9122,0.14682,0.58958,NA,0.67297,0.98893,0.77004,0.98211,0.01107,0.22996,0.987958,0.67818,0.99114,0.80819,0.98245,0.00886,0.19181,0.987521,0.6523,0.99278,0.83253,0.98109,0.00722,0.16747,0.988392
