org            	tool           	seed_num       	l              	w              	w/l            	f              	tpr            	tnr            	ToolCpuTime    	ToolMem        	ToolVMem       	ConCoverage    	QuCoverage     	seed                                    
mm10.chr19     	phRAIDER       	0              	20             	20             	1.0            	2              	0.099          	0.959          	44             	1402646528     	1528676352     	0.965          	0.29           		1^{20}
mm10.chr19     	phRAIDER       	1              	21             	21             	1.0            	2              	0.102          	0.954          	42             	4229234688     	4355338240     	0.964          	0.296          		1^{21}
mm10.chr19     	phRAIDER       	2              	22             	22             	1.0            	2              	0.105          	0.95           	42             	4025585664     	4151668736     	0.964          	0.3            		1^{22}
mm10.chr19     	phRAIDER       	3              	23             	23             	1.0            	2              	0.107          	0.945          	47             	839868416      	965816320      	0.963          	0.302          		1^{23}
mm10.chr19     	phRAIDER       	4              	24             	24             	1.0            	2              	0.108          	0.943          	47             	4290383872     	4416503808     	0.962          	0.306          		1^{24}
mm10.chr19     	phRAIDER       	5              	25             	25             	1.0            	2              	0.108          	0.944          	47             	2778431488     	2904514560     	0.963          	0.313          		1^{25}
mm10.chr19     	phRAIDER       	6              	26             	26             	1.0            	2              	0.11           	0.944          	45             	483074048      	610242560      	0.965          	0.319          		1^{26}
mm10.chr19     	phRAIDER       	7              	27             	27             	1.0            	2              	0.11           	0.942          	47             	3512614912     	3638550528     	0.966          	0.322          		1^{27}
mm10.chr19     	phRAIDER       	8              	28             	28             	1.0            	2              	0.111          	0.942          	46             	4332912640     	4458917888     	0.967          	0.323          		1^{28}
mm10.chr19     	phRAIDER       	9              	29             	29             	1.0            	2              	0.111          	0.941          	49             	737857536      	863760384      	0.969          	0.327          		1^{29}
mm10.chr19     	phRAIDER       	10             	30             	30             	1.0            	2              	0.111          	0.941          	50             	1036828672     	1162715136     	0.97           	0.331          		1^{30}
mm10.chr19     	phRAIDER       	11             	31             	31             	1.0            	2              	0.112          	0.94           	47             	914423808      	1042132992     	0.971          	0.334          		1^{31}
mm10.chr19     	phRAIDER       	12             	32             	32             	1.0            	2              	0.111          	0.941          	55             	3812945920     	3938963456     	0.971          	0.338          		1^{32}
mm10.chr19     	phRAIDER       	13             	33             	33             	1.0            	2              	0.114          	0.94           	52             	2883108864     	3009064960     	0.972          	0.339          		1^{33}
mm10.chr19     	phRAIDER       	14             	34             	34             	1.0            	2              	0.114          	0.938          	55             	4048531456     	4174581760     	0.972          	0.339          		1^{34}
mm10.chr19     	phRAIDER       	15             	35             	35             	1.0            	2              	0.114          	0.937          	52             	4338544640     	4466368512     	0.971          	0.34           		1^{35}
mm10.chr19     	phRAIDER       	16             	36             	36             	1.0            	2              	0.114          	0.936          	50             	2776133632     	2902130688     	0.971          	0.34           		1^{36}
mm10.chr19     	phRAIDER       	17             	37             	37             	1.0            	2              	0.115          	0.934          	55             	1122639872     	1248530432     	0.971          	0.341          		1^{37}
mm10.chr19     	phRAIDER       	18             	38             	38             	1.0            	2              	0.116          	0.932          	53             	2815639552     	2941595648     	0.97           	0.342          		1^{38}
mm10.chr19     	phRAIDER       	19             	39             	39             	1.0            	2              	0.115          	0.931          	53             	2706051072     	2831958016     	0.969          	0.343          		1^{39}
mm10.chr19     	phRAIDER       	20             	40             	40             	1.0            	2              	0.115          	0.931          	53             	4046700544     	4174409728     	0.968          	0.344          		1^{40}
mm10.chr19     	phRAIDER       	21             	41             	41             	1.0            	2              	0.115          	0.93           	57             	3565498368     	3691528192     	0.968          	0.345          		1^{41}
mm10.chr19     	phRAIDER       	22             	42             	42             	1.0            	2              	0.115          	0.93           	58             	3077259264     	3203227648     	0.967          	0.346          		1^{42}
mm10.chr19     	phRAIDER       	23             	43             	43             	1.0            	2              	0.117          	0.93           	59             	4327104512     	4453187584     	0.965          	0.347          		1^{43}
mm10.chr19     	phRAIDER       	24             	44             	44             	1.0            	2              	0.117          	0.93           	59             	2776125440     	2902048768     	0.964          	0.349          		1^{44}
mm10.chr19     	phRAIDER       	25             	45             	45             	1.0            	2              	0.117          	0.932          	56             	4048343040     	4174413824     	0.963          	0.35           		1^{45}
mm10.chr19     	phRAIDER       	26             	46             	46             	1.0            	2              	0.117          	0.934          	56             	2776129536     	2902052864     	0.962          	0.352          		1^{46}
mm10.chr19     	phRAIDER       	27             	47             	47             	1.0            	2              	0.117          	0.934          	3600           	2788974592     	2914881536     	0.96           	0.353          		1^{47}
mm10.chr19     	phRAIDER       	28             	48             	48             	1.0            	2              	0.117          	0.934          	3600           	1580556288     	1708339200     	0.959          	0.354          		1^{48}
mm10.chr19     	phRAIDER       	29             	49             	49             	1.0            	2              	0.117          	0.936          	57             	2776113152     	2902007808     	0.958          	0.355          		1^{49}
mm10.chr19     	phRAIDER       	30             	50             	50             	1.0            	2              	0.117          	0.935          	3603           	2070806528     	2196807680     	0.956          	0.356          		1^{50}
