org            	tool           	seed_num       	l              	w              	w/l            	f              	tpr            	tnr            	ToolCpuTime    	ToolMem        	ToolVMem       	ConCoverage    	QuCoverage     
ce10.chrV      	RepeatScout    	-1             	NA             	NA             	NA             	2              	0.698          	0.891          	3657           	200224768      	325873664      	0.985          	0.663
ce10.chrV      	phRAIDER       	0              	40             	0              	0.0            	2              	0.0            	1.0            	15             	37507072       	174084096      	-1             	-1
ce10.chrV      	phRAIDER       	19             	41             	40             	0.976          	2              	0.695          	0.783          	8              	0              	0              	0.965          	0.75
ce10.chrV      	phRAIDER       	13             	41             	40             	0.976          	2              	0.692          	0.785          	9              	618389504      	740749312      	0.964          	0.749
ce10.chrV      	phRAIDER       	9              	41             	40             	0.976          	2              	0.69           	0.786          	8              	0              	0              	0.961          	0.741
ce10.chrV      	phRAIDER       	5              	41             	40             	0.976          	2              	0.688          	0.784          	9              	0              	0              	0.962          	0.742
ce10.chrV      	phRAIDER       	1              	41             	40             	0.976          	2              	0.688          	0.784          	8              	226942976      	349310976      	0.962          	0.742
ce10.chrV      	phRAIDER       	15             	41             	40             	0.976          	2              	0.692          	0.785          	9              	675852288      	798203904      	0.964          	0.75
ce10.chrV      	phRAIDER       	11             	41             	40             	0.976          	2              	0.69           	0.786          	9              	675770368      	798171136      	0.963          	0.747
ce10.chrV      	phRAIDER       	17             	41             	40             	0.976          	2              	0.694          	0.774          	8              	0              	0              	0.964          	0.752
ce10.chrV      	phRAIDER       	7              	41             	40             	0.976          	2              	0.688          	0.784          	9              	617918464      	740302848      	0.962          	0.742
ce10.chrV      	phRAIDER       	3              	41             	40             	0.976          	2              	0.688          	0.784          	8              	0              	0              	0.962          	0.742
ce10.chrV      	phRAIDER       	18             	42             	40             	0.952          	2              	0.694          	0.774          	9              	0              	0              	0.965          	0.756
ce10.chrV      	phRAIDER       	12             	42             	40             	0.952          	2              	0.689          	0.777          	9              	645402624      	767770624      	0.964          	0.749
ce10.chrV      	phRAIDER       	8              	42             	40             	0.952          	2              	0.688          	0.783          	9              	0              	0              	0.96           	0.743
ce10.chrV      	phRAIDER       	4              	42             	40             	0.952          	2              	0.688          	0.783          	9              	0              	0              	0.96           	0.743
ce10.chrV      	phRAIDER       	14             	42             	40             	0.952          	2              	0.689          	0.769          	8              	0              	0              	0.965          	0.751
