chr           tool          seed          tpr           tnr           ppv           npv           fpr           fdr           Time          Memory        RM_Time       RM_Mem        
chr21         rep_scout     NA            0.13655       0.99484       0.8762        0.81157       0.00516       0.1238        86452         947650560     43204         1402294272    
chr18         raider        0             0.31808       0.85969       0.37425       0.82694       0.14031       0.62575       18001         10191085568   112588        1430683648    
chr18         raider        1             0.31814       0.85529       0.36709       0.82622       0.14471       0.63291       0             0             195644        1434992640    
chr18         raider        2             0.31494       0.8443        0.34796       0.82368       0.1557        0.65204       21636         9668374528    41116         1436037120    
chr18         raider        3             0.31288       0.83343       0.33135       0.82135       0.16657       0.66865       25209         10190106624   77296         1436573696    
chr18         raider        4             0.31025       0.81994       0.31252       0.81837       0.18006       0.68748       25254         9669849088    196252        1437077504    
chr18         raider        5             0.30735       0.8085        0.29747       0.81564       0.1915        0.70253       28850         8711000064    181845        1437442048    
chr18         raider        6             0.30502       0.81314       0.30102       0.816         0.18686       0.69898       32441         8465539072    23496         1437593600    
chr11         raider        0             0.18646       0.89153       0.33401       0.78973       0.10847       0.66599       21626         15143993344   19680         1722605568    
chr11         raider        1             0.18593       0.88069       0.31258       0.78759       0.11931       0.68742       25222         16268763136   185891        1544544256    
chr11         raider        2             0.18329       0.8796        0.30757       0.78684       0.1204        0.69243       0             0             13940         1578225664    
chr11         raider        3             0.17993       0.8765        0.2983        0.78556       0.1235        0.7017        32438         16269148160   172465        1436704768    
chr11         raider        4             0.176         0.88102       0.30149       0.78562       0.11898       0.69851       32448         16269910016   14373         1440989184    
chr11         raider        5             0.17273       0.88217       0.29959       0.78517       0.11783       0.70041       36050         15824629760   61185         1439768576    
chr11         raider        6             0.17042       0.88791       0.30728       0.78579       0.11209       0.69272       39645         16268804096   140620        1437270016    
chr21         raider        0             0.09388       0.94128       0.29958       0.79522       0.05872       0.70042       3615          4276330496    54067         1424498688    
chr21         raider        1             0.0944        0.935         0.2798        0.79422       0.065         0.7202        0             0             118884        1424351232    
chr21         raider        2             0.09398       0.9368        0.2846        0.79446       0.0632        0.7154        3634          3403509760    172883        1426354176    
chr21         raider        3             0.09315       0.93574       0.27943       0.79412       0.06426       0.72057       3645          3119435776    212515        1430241280    
chr21         raider        4             0.09216       0.93651       0.27971       0.79408       0.06349       0.72029       3658          3984084992    32540         1427009536    
chr21         raider        5             0.09228       0.94078       0.2942        0.79484       0.05922       0.7058        7204          4276035584    28964         1434234880    
chr21         raider        6             0.09284       0.93666       0.28167       0.79423       0.06334       0.71833       7213          3277770752    54142         1425494016    
chr12         raider        0             0.19641       0.87064       0.31254       0.78347       0.12936       0.68746       21631         15134265344   92104         2813890560    
chr12         raider        1             0.19694       0.8527        0.28589       0.78003       0.1473        0.71411       25226         14817792000   150504        1706561536    
chr12         raider        2             0.19555       0.85587       0.2889        0.78037       0.14413       0.7111        28845         16021389312   179955        1862782976    
chr12         raider        3             0.19372       0.85072       0.27983       0.77894       0.14928       0.72017       32420         15230984192   90546         1457262592    
chr12         raider        4             0.19163       0.86257       0.29455       0.78087       0.13743       0.70545       36013         14918594560   148691        1453924352    
chr12         raider        5             0.18917       0.87588       0.31336       0.78296       0.12412       0.68664       39651         15844364288   87443         1438564352    
chr12         raider        6             0.18642       0.87813       0.31415       0.78282       0.12187       0.68585       43210         16022261760   138146        1455591424    
chr15         raider        0             0.13913       0.94073       0.41386       0.78416       0.05927       0.58614       10826         10182492160   36570         1428779008    
chr15         raider        1             0.13781       0.93497       0.38929       0.78286       0.06503       0.61071       10849         10182033408   205922        1438240768    
chr15         raider        2             0.13714       0.92743       0.36241       0.78134       0.07257       0.63759       0             0             145016        1435848704    
chr15         raider        3             0.1363        0.92201       0.34457       0.78018       0.07799       0.65543       14445         10181283840   26308         1429434368    
chr15         raider        4             0.13486       0.91786       0.33059       0.77911       0.08214       0.66941       18016         9998995456    184765        1430614016    
chr15         raider        5             0.13278       0.91546       0.32086       0.77825       0.08454       0.67914       18038         10181263360   1227          1434791936    
chr15         raider        6             0.13162       0.90809       0.30108       0.77662       0.09191       0.69892       21604         9997090816    127305        1435222016    
chr18         rep_scout     NA            0.56717       0.97328       0.84848       0.89499       0.02672       0.15152       108034        2244558848    133237        1406074880    
chr15         rep_scout     NA            0.18036       0.98894       0.83061       0.80045       0.01106       0.16939       118855        2138628096    111624        1437212672    
chr10         raider        0             0.24432       0.91568       0.44232       0.81573       0.08432       0.55768       21615         15133814784   5412          1433419776    
chr10         raider        1             0.23849       0.91295       0.42855       0.81412       0.08705       0.57145       25209         16335859712   96277         2014261248    
chr10         raider        2             0.23116       0.90861       0.40912       0.81194       0.09139       0.59088       28817         16335949824   121999        1436508160    
chr10         raider        3             0.2244        0.9099        0.40538       0.81082       0.0901        0.59462       28849         15428976640   151114        1455415296    
chr10         raider        4             0.21836       0.90996       0.39899       0.80964       0.09004       0.60101       32440         16123305984   176801        1463009280    
chr10         raider        5             0.21324       0.91474       0.4064        0.80944       0.08526       0.5936        0             0             36479         1498685440    
chr10         raider        6             0.2089        0.91668       0.40698       0.80891       0.08332       0.59302       43218         16334602240   216683        1806888960    
