chr           tool          seed          tpr           tnr           ppv           npv           fpr           fdr           Time          Memory        RM_Time       RM_Mem        
chr10         raider        0             0.24743       0.91791       0.45206       0.81671       0.08209       0.54794       0             0             44650         1433432064    
chr10         raider        1             0.24646       0.92511       0.47392       0.81769       0.07489       0.52608       21608         16342421504   167396        1431863296    
chr10         raider        2             0.24243       0.91427       0.43632       0.81512       0.08573       0.56368       21622         16348782592   12835         1446752256    
chr10         raider        3             0.24042       0.89056       0.37551       0.81072       0.10944       0.62449       21646         16306053120   196560        1516572672    
chr10         raider        4             0.22929       0.90766       0.40464       0.81141       0.09234       0.59536       25212         15340945408   176122        1440743424    
chr12         raider        0             0.19528       0.87744       0.32299       0.78455       0.12256       0.67701       21618         15439753216   138460        1926619136    
chr12         raider        1             0.18703       0.88552       0.32849       0.78437       0.11448       0.67151       21635         16028741632   66866         2060300288    
chr12         raider        2             0.18564       0.8763        0.31004       0.78231       0.1237        0.68996       21641         16035024896   178705        2127142912    
chr12         raider        3             0.18356       0.87114       0.299         0.78086       0.12886       0.701         21652         16041738240   164560        2198413312    
chr12         raider        4             0.17559       0.89321       0.32991       0.78347       0.10679       0.67009       25236         15811076096   176401        1908314112    
chr15         raider        0             0.13943       0.94408       0.42855       0.78482       0.05592       0.57145       10810         9997443072    22066         1426231296    
chr15         raider        1             0.13523       0.9421        0.41264       0.78364       0.0579        0.58736       10840         8798535680    112120        1435500544    
chr15         raider        2             0.13429       0.93986       0.4018        0.78305       0.06014       0.5982        10827         10003234816   76189         1427292160    
chr15         raider        3             0.13395       0.94415       0.41909       0.78376       0.05585       0.58091       10830         10005393408   101427        1431420928    
chr15         raider        4             0.12815       0.94149       0.39714       0.78214       0.05851       0.60286       10849         8810246144    116144        1434472448    
chr21         raider        0             0.09196       0.9486        0.32371       0.79613       0.0514        0.67629       3607          3982643200    14467         1436024832    
chr21         raider        1             0.08806       0.93846       0.27682       0.79368       0.06154       0.72318       3614          3985031168    68466         1434394624    
chr21         raider        2             0.08747       0.94611       0.30275       0.7949        0.05389       0.69725       3616          2488975360    64877         1424351232    
chr21         raider        3             0.08825       0.94168       0.28816       0.79428       0.05832       0.71184       0             0             79319         1423953920    
chr21         raider        4             0.08674       0.94207       0.286         0.79407       0.05793       0.714         3620          3124649984    169289        1425039360    
chr11         raider        0             0.18575       0.90581       0.36524       0.79222       0.09419       0.63476       21618         16270184448   69705         2451554304    
chr11         raider        1             0.17873       0.90187       0.34702       0.79008       0.09813       0.65298       0             0             84478         2019799040    
chr11         raider        2             0.1778        0.90925       0.36372       0.79124       0.09075       0.63628       21630         15199236096   41384         2463182848    
chr11         raider        3             0.17559       0.88937       0.31651       0.78712       0.11063       0.68349       21631         15084883968   199906        1853067264    
chr11         raider        4             0.1646        0.90093       0.32649       0.78706       0.09907       0.67351       25221         16301387776   10081         1541640192    
chr18         raider        0             0.31862       0.86463       0.38308       0.82787       0.13537       0.61692       14440         9669451776    169996        1432035328    
chr18         raider        1             0.30253       0.86894       0.3785        0.82524       0.13106       0.6215        18010         8470552576    76664         1430953984    
chr18         raider        2             0.29998       0.86713       0.37329       0.82441       0.13287       0.62671       18029         10192715776   47957         1437052928    
chr18         raider        3             0.29912       0.85096       0.34619       0.82149       0.14904       0.65381       18030         10192842752   116510        1485209600    
chr18         raider        4             0.28416       0.85457       0.34015       0.819         0.14543       0.65985       21626         10194128896   91961         1436168192    
