tool	label	seed	w	l	f	size	time	mem

phRAIDER	hg38.chr22	0	20	20	2	51665450	71.17	4412416.0
phRAIDER	hg38.chr22	1	22	22	2	51665450	71.73	4480244.0
phRAIDER	hg38.chr22	10	40	40	2	51665450	85.93	4726192.0
phRAIDER	hg38.chr22	100	40	48	2	51665450	95.17	4795508.0
phRAIDER	hg38.chr22	101	40	48	2	51665450	79.08	4784812.0
phRAIDER	hg38.chr22	102	40	48	2	51665450	78.78	4780384.0
phRAIDER	hg38.chr22	103	40	48	2	51665450	95.26	4775808.0
phRAIDER	hg38.chr22	104	40	48	2	51665450	79.78	4790600.0
phRAIDER	hg38.chr22	105	40	48	2	51665450	82.47	4780428.0
phRAIDER	hg38.chr22	106	40	48	2	51665450	95.58	4788524.0
phRAIDER	hg38.chr22	107	40	48	2	51665450	81.47	4785904.0
phRAIDER	hg38.chr22	108	40	48	2	51665450	78.31	4781832.0
phRAIDER	hg38.chr22	109	40	48	2	51665450	95.35	4794120.0
phRAIDER	hg38.chr22	11	42	42	2	51665450	72.11	4726548.0
phRAIDER	hg38.chr22	110	40	48	2	51665450	78.52	4792652.0
phRAIDER	hg38.chr22	111	40	48	2	51665450	82.58	4771496.0
phRAIDER	hg38.chr22	112	40	48	2	51665450	97.09	4790988.0
phRAIDER	hg38.chr22	113	40	48	2	51665450	77.29	4762304.0
phRAIDER	hg38.chr22	114	40	48	2	51665450	79.64	4794276.0
phRAIDER	hg38.chr22	115	40	48	2	51665450	94.84	4790476.0
phRAIDER	hg38.chr22	116	40	48	2	51665450	78.0	4779280.0
phRAIDER	hg38.chr22	117	40	48	2	51665450	85.02	4783024.0
phRAIDER	hg38.chr22	118	40	48	2	51665450	95.03	4783196.0
phRAIDER	hg38.chr22	119	40	48	2	51665450	79.21	4777664.0
phRAIDER	hg38.chr22	12	44	44	2	51665450	89.25	4727236.0
phRAIDER	hg38.chr22	120	40	48	2	51665450	77.46	4782928.0
phRAIDER	hg38.chr22	121	40	50	2	51665450	94.86	4787204.0
phRAIDER	hg38.chr22	122	40	50	2	51665450	80.55	4790364.0
phRAIDER	hg38.chr22	123	40	50	2	51665450	80.79	4799016.0
phRAIDER	hg38.chr22	124	40	50	2	51665450	98.55	4799996.0
phRAIDER	hg38.chr22	125	40	50	2	51665450	79.72	4782600.0
phRAIDER	hg38.chr22	126	40	50	2	51665450	80.66	4789476.0
phRAIDER	hg38.chr22	127	40	50	2	51665450	96.31	4790176.0
phRAIDER	hg38.chr22	128	40	50	2	51665450	80.71	4787644.0
phRAIDER	hg38.chr22	129	40	50	2	51665450	82.64	4799392.0
phRAIDER	hg38.chr22	13	46	46	2	51665450	76.06	4727012.0
phRAIDER	hg38.chr22	130	40	50	2	51665450	97.12	4795400.0
phRAIDER	hg38.chr22	131	40	50	2	51665450	79.5	4798460.0
phRAIDER	hg38.chr22	132	40	50	2	51665450	84.72	4783404.0
phRAIDER	hg38.chr22	133	40	50	2	51665450	96.18	4798752.0
phRAIDER	hg38.chr22	134	40	50	2	51665450	79.17	4781596.0
phRAIDER	hg38.chr22	135	40	50	2	51665450	81.47	4795668.0
