tool	label	seed	f	size	time	mem

RAIDER	ce10.chrI	0	2	15323637	34.07	1762140.0
RAIDER	ce10.chrI	1	2	15323637	29.95	1754760.0
RAIDER	ce10.chrII	0	2	15534008	25.0	1784880.0
RAIDER	ce10.chrII	1	2	15534008	28.29	1780088.0
RAIDER	ce10.chrIII	0	2	14013437	22.21	1618852.0
RAIDER	ce10.chrIII	1	2	14013437	24.07	1611604.0
RAIDER	ce10.chrIV	0	2	17785364	27.83	2011136.0
RAIDER	ce10.chrIV	1	2	17785364	24.49	2003640.0
RAIDER	ce10.chrM	0	2	14030	0.03	3044.0
RAIDER	ce10.chrM	1	2	14030	0.02	3044.0
RAIDER	ce10.chrV	0	2	21272891	43.44	2518136.0
RAIDER	ce10.chrV	1	2	21272891	40.17	2508916.0
RAIDER	ce10.chrX	0	2	18014187	35.52	2063904.0
RAIDER	ce10.chrX	1	2	18014187	35.84	2060012.0
RAIDER	cf3.chr1	0	2	124723438	253.54	14211056.0
RAIDER	cf3.chr1	1	2	124723438	226.34	14133944.0
RAIDER	cf3.chr10	0	2	70486979	150.27	8005836.0
RAIDER	cf3.chr10	1	2	70486979	124.62	7965132.0
RAIDER	cf3.chr11	0	2	75628923	153.0	8481816.0
RAIDER	cf3.chr11	1	2	75628923	133.13	8433216.0
RAIDER	cf3.chr12	0	2	73706390	157.69	8334464.0
RAIDER	cf3.chr12	1	2	73706390	129.71	8289096.0
RAIDER	cf3.chr13	0	2	64295963	127.86	7358304.0
RAIDER	cf3.chr13	1	2	64295963	114.15	7323444.0
RAIDER	cf3.chr14	0	2	61982798	124.7	7098252.0
RAIDER	cf3.chr14	1	2	61982798	112.93	7060192.0
RAIDER	cf3.chr15	0	2	65260823	136.62	7430676.0
RAIDER	cf3.chr15	1	2	65260823	115.79	7392396.0
RAIDER	cf3.chr16	0	2	60626734	122.42	6911820.0
RAIDER	cf3.chr16	1	2	60626734	107.74	6873164.0
RAIDER	cf3.chr17	0	2	65360551	130.04	7454544.0
RAIDER	cf3.chr17	1	2	65360551	117.76	7415080.0
RAIDER	cf3.chr18	0	2	56775600	114.25	6539584.0
RAIDER	cf3.chr18	1	2	56775600	101.21	6504064.0
RAIDER	cf3.chr19	0	2	54637315	110.25	6336044.0
RAIDER	cf3.chr19	1	2	54637315	98.56	6306232.0
RAIDER	cf3.chr2	0	2	86850493	184.85	10202296.0
RAIDER	cf3.chr2	1	2	86850493	184.85	10147608.0
RAIDER	cf3.chr20	0	2	59102964	121.1	6805712.0
RAIDER	cf3.chr20	1	2	59102964	105.21	6769108.0
RAIDER	cf3.chr21	0	2	51706274	106.53	5993540.0
RAIDER	cf3.chr21	1	2	51706274	93.45	5960704.0
RAIDER	cf3.chr22	0	2	62463940	123.86	7166272.0
RAIDER	cf3.chr22	1	2	62463940	111.33	7134628.0
RAIDER	cf3.chr23	0	2	53166062	108.03	6192148.0
RAIDER	cf3.chr23	1	2	53166062	102.41	6164856.0
RAIDER	cf3.chr24	0	2	48493766	98.66	5693684.0
RAIDER	cf3.chr24	1	2	48493766	88.49	5666356.0
RAIDER	cf3.chr25	0	2	52489423	105.18	6090860.0
RAIDER	cf3.chr25	1	2	52489423	94.33	6063484.0
RAIDER	cf3.chr26	0	2	39614109	84.34	4926084.0
RAIDER	cf3.chr26	1	2	39614109	74.45	4913092.0
RAIDER	cf3.chr27	0	2	46641329	95.27	5474268.0
RAIDER	cf3.chr27	1	2	46641329	85.21	5444012.0
RAIDER	cf3.chr28	0	2	41868488	86.82	4995816.0
RAIDER	cf3.chr28	1	2	41868488	77.27	4973820.0
RAIDER	cf3.chr29	0	2	42542666	96.63	5056988.0
RAIDER	cf3.chr29	1	2	42542666	78.5	5033944.0
RAIDER	cf3.chr3	0	2	93420534	229.9	11015856.0
RAIDER	cf3.chr3	1	2	93420534	175.49	10963284.0
RAIDER	cf3.chr30	0	2	40884505	86.8	4915160.0
RAIDER	cf3.chr30	1	2	40884505	78.2	4909048.0
RAIDER	cf3.chr31	0	2	40560861	97.14	4921660.0
RAIDER	cf3.chr31	1	2	40560861	86.78	4915368.0
RAIDER	cf3.chr32	0	2	39457127	89.39	4915116.0
RAIDER	cf3.chr32	1	2	39457127	74.06	4908336.0
RAIDER	cf3.chr33	0	2	31900026	61.88	3664388.0
RAIDER	cf3.chr33	1	2	31900026	57.76	3648160.0
RAIDER	cf3.chr34	0	2	42826512	96.44	5107272.0
RAIDER	cf3.chr34	1	2	42826512	78.7	5087380.0
RAIDER	cf3.chr35	0	2	26967090	52.66	3149272.0
RAIDER	cf3.chr35	1	2	26967090	47.13	3135452.0
RAIDER	cf3.chr36	0	2	31324519	60.73	3616392.0
RAIDER	cf3.chr36	1	2	31324519	53.71	3601712.0
RAIDER	cf3.chr37	0	2	31418048	60.53	3618288.0
RAIDER	cf3.chr37	1	2	31418048	54.14	3604396.0
RAIDER	cf3.chr38	0	2	24313120	47.84	2861592.0
RAIDER	cf3.chr38	1	2	24313120	42.48	2851096.0
RAIDER	cf3.chr4	0	2	89747915	225.72	10641464.0
RAIDER	cf3.chr4	1	2	89747915	169.41	10592428.0
RAIDER	cf3.chr5	0	2	90397177	234.41	10724092.0
RAIDER	cf3.chr5	1	2	90397177	214.38	10673008.0
RAIDER	cf3.chr6	0	2	78866704	209.5	9971536.0
RAIDER	cf3.chr6	1	2	78866704	152.02	9962004.0
RAIDER	cf3.chr7	0	2	82324114	189.64	9976756.0
RAIDER	cf3.chr7	1	2	82324114	157.39	9966248.0
RAIDER	cf3.chr8	0	2	75569263	149.78	8484836.0
RAIDER	cf3.chr8	1	2	75569263	133.56	8435332.0
RAIDER	cf3.chr9	0	2	62091990	133.03	7051568.0
RAIDER	cf3.chr9	1	2	62091990	110.11	7007308.0
RAIDER	cf3.chrM	0	2	17012	0.03	3456.0
RAIDER	cf3.chrM	1	2	17012	0.02	3456.0
RAIDER	cf3.chrX	0	2	125933634	262.19	13816412.0
RAIDER	cf3.chrX	1	2	125933634	238.57	13678304.0
RAIDER	hg38.chr1	1	2	253105702	499.37	25713396.0
RAIDER	hg38.chr10	0	2	136027387	280.19	15029860.0
RAIDER	hg38.chr10	1	2	136027387	254.32	14899180.0
RAIDER	hg38.chr11	0	2	137338073	262.32	15045040.0
RAIDER	hg38.chr11	1	2	137338073	268.61	14921784.0
RAIDER	hg38.chr12	0	2	135496572	313.55	14964056.0
RAIDER	hg38.chr13	0	2	116270408	210.07	11495112.0
RAIDER	hg38.chr13	1	2	116270408	248.68	11418280.0
RAIDER	hg38.chr14	0	2	108827787	197.24	10612076.0
RAIDER	hg38.chr14	1	2	108827787	217.05	10526964.0
RAIDER	hg38.chr15	0	2	103691050	190.32	10076996.0
RAIDER	hg38.chr15	1	2	103691050	166.94	10040320.0
RAIDER	hg38.chr16	0	2	91843992	173.96	8857040.0
RAIDER	hg38.chr16	1	2	91843992	151.46	8750144.0
RAIDER	hg38.chr17	0	2	84645073	160.14	8779468.0
RAIDER	hg38.chr17	1	2	84645073	184.09	8674888.0
RAIDER	hg38.chr18	0	2	81712847	164.42	8634220.0
RAIDER	hg38.chr18	1	2	81712847	174.34	8580664.0
RAIDER	hg38.chr19	0	2	59594584	125.83	6333664.0
RAIDER	hg38.chr19	1	2	59594584	107.84	6229904.0
RAIDER	hg38.chr2	1	2	246230094	497.09	27283432.0
RAIDER	hg38.chr20	0	2	65518244	135.74	7148048.0
RAIDER	hg38.chr20	1	2	65518244	143.08	7088052.0
RAIDER	hg38.chr21	0	2	47488490	94.06	4303276.0
RAIDER	hg38.chr21	1	2	47488490	69.98	4269148.0
RAIDER	hg38.chr22	0	2	51665450	79.53	4205968.0
RAIDER	hg38.chr22	1	2	51665450	69.5	4152564.0
RAIDER	hg38.chr3	0	2	201600491	527.55	23022300.0
RAIDER	hg38.chr3	1	2	201600491	399.71	22843720.0
RAIDER	hg38.chr4	0	2	193384804	421.51	22181408.0
RAIDER	hg38.chr4	1	2	193384804	372.02	22014544.0
RAIDER	hg38.chr5	0	2	184563903	431.99	21093980.0
RAIDER	hg38.chr5	1	2	184563903	359.13	20925888.0
RAIDER	hg38.chr6	0	2	173652752	403.69	20366284.0
RAIDER	hg38.chr6	1	2	173652752	340.63	20302228.0
RAIDER	hg38.chr7	0	2	162001746	357.86	17495200.0
RAIDER	hg38.chr7	1	2	162001746	307.63	17326896.0
RAIDER	hg38.chr8	0	2	147557620	317.2	16274608.0
RAIDER	hg38.chr8	1	2	147557620	292.97	16152200.0
RAIDER	hg38.chr9	0	2	140701302	266.85	13491124.0
RAIDER	hg38.chr9	1	2	140701302	246.86	13361340.0
RAIDER	hg38.chrX	0	2	158641583	328.36	16849824.0
RAIDER	hg38.chrX	1	2	158641583	287.9	16683220.0
RAIDER	hg38.chrY	0	2	58181212	63.01	2914376.0
RAIDER	hg38.chrY	1	2	58181212	48.9	2881492.0
RAIDER	mm10.chr1	0	2	198729844	424.95	21933668.0
RAIDER	mm10.chr1	1	2	198729844	413.27	21756648.0
RAIDER	mm10.chr10	0	2	132873250	276.59	14239088.0
RAIDER	mm10.chr10	1	2	132873250	251.09	14117900.0
RAIDER	mm10.chr11	0	2	124117260	286.82	13626244.0
RAIDER	mm10.chr11	1	2	124117260	235.0	13531668.0
RAIDER	mm10.chr12	0	2	122131180	287.43	12942656.0
RAIDER	mm10.chr12	1	2	122131180	231.91	12811548.0
RAIDER	mm10.chr13	0	2	122428674	253.29	13114192.0
RAIDER	mm10.chr13	1	2	122428674	220.96	12997996.0
RAIDER	mm10.chr14	0	2	126983956	280.07	13092096.0
RAIDER	mm10.chr14	1	2	126983956	226.21	12970244.0
RAIDER	mm10.chr15	0	2	105777754	217.39	11583164.0
RAIDER	mm10.chr15	1	2	105777754	202.41	11498668.0
RAIDER	mm10.chr16	0	2	99844572	205.21	10994452.0
RAIDER	mm10.chr16	1	2	99844572	203.71	10917448.0
RAIDER	mm10.chr17	0	2	96570400	218.14	10592892.0
RAIDER	mm10.chr17	1	2	96570400	191.97	10503424.0
RAIDER	mm10.chr18	0	2	92214357	194.97	10236284.0
RAIDER	mm10.chr18	1	2	92214357	180.2	10165376.0
RAIDER	mm10.chr19	0	2	62455433	123.07	6687532.0
RAIDER	mm10.chr19	1	2	62455433	128.89	6640972.0
RAIDER	mm10.chr2	0	2	185148451	428.13	20661592.0
RAIDER	mm10.chr2	1	2	185148451	352.44	20511068.0
RAIDER	mm10.chr3	0	2	162707014	351.71	17023036.0
RAIDER	mm10.chr3	1	2	162707014	321.69	16872200.0
RAIDER	mm10.chr4	0	2	159116591	344.36	16473860.0
RAIDER	mm10.chr4	1	2	159116591	302.56	16328136.0
RAIDER	mm10.chr5	0	2	154365269	330.93	16182632.0
RAIDER	mm10.chr5	1	2	154365269	294.58	16044488.0
RAIDER	mm10.chr6	0	2	152232162	320.13	16090860.0
RAIDER	mm10.chr6	1	2	152232162	293.92	15959452.0
RAIDER	mm10.chr7	0	2	147865490	308.99	15008716.0
RAIDER	mm10.chr7	1	2	147865490	297.61	14839756.0
RAIDER	mm10.chr8	0	2	131557906	274.81	14073920.0
RAIDER	mm10.chr8	1	2	131557906	263.97	13969632.0
RAIDER	mm10.chr9	0	2	126671702	265.16	13762572.0
RAIDER	mm10.chr9	1	2	126671702	247.43	13662976.0
RAIDER	mm10.chrM	0	2	16577	0.03	3428.0
RAIDER	mm10.chrM	1	2	16577	0.03	3424.0
RAIDER	mm10.chrX	0	2	173881827	359.8	15938340.0
RAIDER	mm10.chrX	1	2	173881827	314.91	15698936.0
RAIDER	mm10.chrY	0	2	93273783	201.28	2099188.0
RAIDER	mm10.chrY	1	2	93273783	142.66	1949004.0
RepeatScout	ce10.chrI	0	2	15323637	582.01	412508.0
RepeatScout	ce10.chrII	0	2	15534008	613.16	407576.0
RepeatScout	ce10.chrIII	0	2	14013437	555.64	383052.0
RepeatScout	ce10.chrIV	0	2	17785364	545.37	365576.0
RepeatScout	ce10.chrM	0	2	14030	1.68	128568.0
RepeatScout	ce10.chrV	0	2	21272891	512.88	413008.0
RepeatScout	ce10.chrX	0	2	18014187	520.92	324648.0
RepeatScout	cf3.chr1	0	2	124723438	2665.18	1660972.0
RepeatScout	cf3.chr10	0	2	70486979	1379.72	752176.0
RepeatScout	cf3.chr11	0	2	75628923	1588.28	902748.0
RepeatScout	cf3.chr12	0	2	73706390	1527.48	892896.0
RepeatScout	cf3.chr13	0	2	64295963	2302.87	1244496.0
RepeatScout	cf3.chr14	0	2	61982798	2245.74	1222100.0
RepeatScout	cf3.chr15	0	2	65260823	2277.77	1267568.0
RepeatScout	cf3.chr16	0	2	60626734	2085.73	1150456.0
RepeatScout	cf3.chr17	0	2	65360551	2322.77	1254804.0
RepeatScout	cf3.chr18	0	2	56775600	1959.07	1020284.0
RepeatScout	cf3.chr19	0	2	54637315	2011.0	1042156.0
RepeatScout	cf3.chr2	0	2	86850493	1636.71	1040748.0
RepeatScout	cf3.chr20	0	2	59102964	2071.02	1062668.0
RepeatScout	cf3.chr21	0	2	51706274	1831.08	947616.0
RepeatScout	cf3.chr22	0	2	62463940	2332.17	1254828.0
RepeatScout	cf3.chr23	0	2	53166062	1932.53	976248.0
RepeatScout	cf3.chr24	0	2	48493766	1709.33	808128.0
RepeatScout	cf3.chr25	0	2	52489423	1872.93	934868.0
RepeatScout	cf3.chr26	0	2	39614109	1151.58	652224.0
RepeatScout	cf3.chr27	0	2	46641329	1600.42	840392.0
RepeatScout	cf3.chr28	0	2	41868488	1416.71	665024.0
RepeatScout	cf3.chr29	0	2	42542666	1484.06	758172.0
RepeatScout	cf3.chr3	0	2	93420534	1959.37	1139412.0
RepeatScout	cf3.chr30	0	2	40884505	1351.33	679728.0
RepeatScout	cf3.chr31	0	2	40560861	1428.51	711976.0
RepeatScout	cf3.chr32	0	2	39457127	1370.84	733128.0
RepeatScout	cf3.chr33	0	2	31900026	986.76	515996.0
RepeatScout	cf3.chr34	0	2	42826512	1483.82	712544.0
RepeatScout	cf3.chr35	0	2	26967090	746.59	408852.0
RepeatScout	cf3.chr36	0	2	31324519	991.96	505492.0
RepeatScout	cf3.chr37	0	2	31418048	977.84	485016.0
RepeatScout	cf3.chr38	0	2	24313120	682.29	371500.0
RepeatScout	cf3.chr4	0	2	89747915	1881.86	1066424.0
RepeatScout	cf3.chr5	0	2	90397177	1835.76	997448.0
RepeatScout	cf3.chr6	0	2	78866704	1568.8	870080.0
RepeatScout	cf3.chr7	0	2	82324114	1685.45	959092.0
RepeatScout	cf3.chr8	0	2	75569263	1507.71	899488.0
RepeatScout	cf3.chr9	0	2	62091990	2156.81	1154828.0
RepeatScout	cf3.chrM	0	2	17012	0.71	128444.0
