chr           tool          seed          tpr           tnr           ppv           npv           fpr           fdr           Time          Memory        RM_Time       RM_Mem        
chr12         raider        0             0.19443       0.88682       0.33967       0.78616       0.11318       0.66033       18055         15373561856   37604         2074816512    
chr12         raider        1             0.19461       0.88333       0.3331        0.78554       0.11667       0.6669        21617         16023085056   95155         2840489984    
chr12         raider        2             0.19535       0.8785        0.32497       0.78476       0.1215        0.67503       21622         16022032384   152821        1991118848    
chr12         raider        3             0.19599       0.8793        0.32715       0.78505       0.1207        0.67285       21610         16021889024   214185        1866674176    
chr12         raider        4             0.19613       0.87256       0.31546       0.78378       0.12744       0.68454       0             0             178336        1741406208    
chr20         raider        0             0.17648       0.89827       0.32136       0.79984       0.10173       0.67864       7229          7008264192    40014         1426067456    
chr20         raider        1             0.17656       0.90083       0.32703       0.80031       0.09917       0.67297       7227          7015796736    165955        1436049408    
chr20         raider        2             0.17784       0.89912       0.32487       0.80026       0.10088       0.67513       7229          7015157760    72391         1437732864    
chr20         raider        3             0.1791        0.88814       0.30413       0.79853       0.11186       0.69587       7235          7016075264    183974        1428717568    
chr20         raider        4             0.18012       0.88247       0.29494       0.7977        0.11753       0.70506       7238          7016652800    90476         1428021248    
chr15         raider        0             0.13898       0.94911       0.45099       0.78563       0.05089       0.54901       10806         9991249920    169564        1429303296    
chr15         raider        1             0.13931       0.94474       0.43125       0.78491       0.05526       0.56875       10803         9998385152    111979        1429893120    
chr15         raider        2             0.13936       0.9435        0.4259        0.7847        0.0565        0.5741        10809         10181283840   29235         1429319680    
chr15         raider        3             0.13947       0.94201       0.41974       0.78445       0.05799       0.58026       10817         10181595136   173265        1432383488    
chr15         raider        4             0.13933       0.94069       0.41406       0.78419       0.05931       0.58594       10837         8796045312    101296        1433673728    
chr21         raider        0             0.09163       0.95191       0.33761       0.79664       0.04809       0.66239       3606          1887440896    10916         1420763136    
chr21         raider        1             0.09157       0.94766       0.31882       0.7959        0.05234       0.68118       3608          2694156288    3692          1422237696    
chr21         raider        2             0.09207       0.94853       0.32363       0.79614       0.05147       0.67637       0             0             21662         1422520320    
chr21         raider        3             0.0928        0.94444       0.3088        0.79557       0.05556       0.6912        3610          2720350208    28891         1421930496    
chr21         raider        4             0.0934        0.94231       0.3022        0.79531       0.05769       0.6978        3614          2488528896    43280         1423364096    
chr11         raider        0             0.18565       0.91104       0.37846       0.79314       0.08896       0.62154       21606         16141414400   48026         1708855296    
chr11         raider        1             0.18526       0.91124       0.37851       0.7931        0.08876       0.62149       18046         15066476544   119984        2511634432    
chr11         raider        2             0.1858        0.9063        0.3665        0.79232       0.0937        0.6335        0             0             84077         1611337728    
chr11         raider        3             0.18627       0.90302       0.35915       0.79182       0.09698       0.64085       21606         16269455360   80632         1634578432    
chr11         raider        4             0.18638       0.89632       0.34404       0.79061       0.10368       0.65596       21609         16270581760   199555        1545605120    
chr19         raider        0             0.35882       0.8697        0.45755       0.81579       0.1303        0.54245       10839         7685623808    141471        1435054080    
chr19         raider        1             0.35962       0.84144       0.40993       0.81096       0.15856       0.59007       10818         7110803456    1109          1433108480    
chr19         raider        2             0.36115       0.8521        0.4279        0.81325       0.1479        0.5721        10830         7109132288    1199          1439256576    
chr19         raider        3             0.36212       0.84892       0.42335       0.81291       0.15108       0.57665       10837         7110135808    33752         1436528640    
chr19         raider        4             0.36308       0.85475       0.43364       0.81418       0.14525       0.56636       10844         7110963200    44646         1436848128    
chr18         raider        0             0.31482       0.8898        0.42978       0.83115       0.1102        0.57022       14448         9650692096    166336        1433866240    
chr18         raider        1             0.31882       0.86771       0.38869       0.82842       0.13229       0.61131       14428         9668440064    151927        1433235456    
chr18         raider        2             0.31847       0.86465       0.38302       0.82785       0.13535       0.61698       0             0             126829        1437036544    
chr18         raider        3             0.31862       0.86036       0.37578       0.82717       0.13964       0.62422       14445         10190172160   137693        1432162304    
chr18         raider        4             0.31831       0.85817       0.3719        0.82674       0.14183       0.6281        14455         9668952064    144921        1431494656    
