chr           tool          seed          tpr           tnr           ppv           npv           fpr           fdr           Time          Memory        RM_Time       RM_Mem        
chr10         raider        0             0.20877       0.95299       0.54865       0.81482       0.04701       0.45135       25202         14971977728   174645        4720295936    
chr10         raider        1             0.24534       0.93259       0.49904       0.81866       0.06741       0.50096       21610         16263524352   37360         4738277376    
chr10         raider        2             0.24657       0.92395       0.47019       0.81752       0.07605       0.52981       18047         15650193408   134540        4719075328    
chr10         raider        3             0.24681       0.9167        0.44784       0.81639       0.0833        0.55216       0             0             59127         4723871744    
chr10         raider        4             0.24217       0.93739       0.51429       0.81881       0.06261       0.48571       0             0             15748         4721152000    
chr10         raider        5             0.23811       0.91343       0.42951       0.81412       0.08657       0.57049       25233         16057675776   211106        4744273920    
chr10         raider        6             0.21764       0.89694       0.36631       0.80726       0.10306       0.63369       0             0             52097         4722917376    
chr10         raider        8             0.1823        0.93045       0.41773       0.80609       0.06955       0.58227       28827         16069742592   45228         4751106048    
chr10         rep_scout     NA            0.26597       0.97378       0.7352        0.82896       0.02622       0.2648        208855        3183624192    57712         4247924736    
chr12         raider        0             0.13687       0.96188       0.51808       0.78821       0.03812       0.48192       28800         14626140160   16470         4732592128    
chr12         raider        1             0.18653       0.89216       0.34121       0.78553       0.10784       0.65879       21631         14731292672   109667        4739121152    
chr12         raider        2             0.19454       0.88573       0.33766       0.78598       0.11427       0.66234       18053         16002023424   210303        4724310016    
chr12         raider        3             0.19574       0.87911       0.32652       0.78496       0.12089       0.67348       21600         14818500608   156520        4716691456    
chr12         raider        4             0.18389       0.90214       0.36009       0.78686       0.09786       0.63991       21640         15485313024   127641        4746530816    
chr12         raider        5             0.16063       0.92714       0.39765       0.78673       0.07286       0.60235       28821         14742642688   105244        4321026048    
chr12         raider        7             0.1702        0.89356       0.32378       0.78243       0.10644       0.67622       36040         16094334976   202576        4748820480    
chr12         raider        8             0.16654       0.90602       0.34666       0.78403       0.09398       0.65334       28849         16027299840   64868         4344737792    
chr12         rep_scout     NA            0.27798       0.98218       0.82365       0.81959       0.01782       0.17635       201649        3196788736    14491         4183445504    
chr15         raider        0             0.10893       0.97202       0.53938       0.78386       0.02798       0.46062       14412         10098130944   209302        2821713920    
chr15         raider        1             0.13543       0.93138       0.3725        0.78173       0.06862       0.6275        14403         9906642944    4051          2385793024    
chr15         raider        2             0.13898       0.95059       0.4583        0.78589       0.04941       0.5417        10848         10121170944   129984        2822000640    
chr15         raider        3             0.13933       0.94391       0.42766       0.78477       0.05609       0.57234       14401         10112491520   169613        2384707584    
chr15         raider        5             0.12578       0.95752       0.4711        0.78455       0.04248       0.5289        14409         9967718400    29460         2829754368    
chr15         raider        6             0.12524       0.91761       0.31375       0.77716       0.08239       0.68625       14446         8721698816    163495        2395750400    
chr15         raider        7             0.12365       0.92082       0.31959       0.77745       0.07918       0.68041       18018         10131394560   69478         2823086080    
chr15         raider        8             0.12172       0.9254        0.32921       0.77792       0.0746        0.67079       18009         9635450880    151681        2822258688    
chr15         rep_scout     NA            0.17997       0.98877       0.82824       0.80035       0.01123       0.17176       115231        2368679936    86451         2344202240    
chr9          raider        0             0.56527       0.81334       0.42313       0.88538       0.18666       0.57687       43213         16298491904   190257        4738002944    
chr9          raider        1             0.59402       0.73394       0.35097       0.88185       0.26606       0.64903       36049         16338071552   6510          4743430144    
chr9          raider        2             0.58756       0.76108       0.37329       0.88397       0.23892       0.62671       32443         16599650304   168876        4755017728    
chr9          raider        3             0.58713       0.78028       0.39292       0.8864        0.21972       0.60708       32443         16638627840   21837         4749819904    
chr9          raider        4             0.59379       0.75542       0.37029       0.88477       0.24458       0.62971       36053         15239303168   189809        4743835648    
chr9          raider        5             0.59955       0.71164       0.33492       0.88006       0.28836       0.66508       0             0             206603        4736077824    
chr9          rep_scout     NA            0.64985       0.92781       0.68557       0.91625       0.07219       0.31443       205255        3182505984    198111        4260466688    
chr21         raider        0             0.06147       0.98738       0.56581       0.79727       0.01262       0.43419       3610          3141218304    28918         1423511552    
chr21         raider        1             0.08714       0.9606        0.37173       0.79731       0.0394        0.62827       3606          4229746688    32469         1423708160    
chr21         raider        2             0.09168       0.95202       0.33823       0.79666       0.04798       0.66177       3606          3834503168    10918         1421914112    
chr21         raider        3             0.09238       0.94695       0.31778       0.79592       0.05305       0.68222       3609          3453337600    21688         1420587008    
chr21         raider        4             0.08519       0.96407       0.38812       0.79755       0.03593       0.61188       3609          3870142464    25309         1423028224    
chr21         raider        5             0.07434       0.96726       0.3779        0.79617       0.03274       0.6221        3618          3732193280    144086        1422614528    
chr21         raider        6             0.08801       0.93795       0.27507       0.79358       0.06205       0.72493       3634          2877673472    194558        1423974400    
chr21         raider        7             0.09062       0.94637       0.31131       0.79551       0.05363       0.68869       3640          3990237184    140479        1425879040    
chr21         raider        8             0.08827       0.94915       0.3171        0.79557       0.05085       0.6829        3639          4283166720    10887         1425702912    
chr21         rep_scout     NA            0.13663       0.99446       0.86837       0.81153       0.00554       0.13163       82818         898719744     39654         1418240000    
chr11         raider        0             0.13587       0.95804       0.48579       0.79166       0.04196       0.51421       25233         16085495808   163581        4736651264    
chr11         raider        1             0.17939       0.90994       0.36755       0.79169       0.09006       0.63245       21612         16193613824   184823        4310904832    
chr11         raider        2             0.18564       0.91122       0.37892       0.79318       0.08878       0.62108       18047         15049158656   195595        4735815680    
chr11         raider        3             0.18611       0.90275       0.3583        0.79173       0.09725       0.6417        21603         15065948160   37374         4736946176    
chr11         raider        4             0.17604       0.90513       0.35123       0.79014       0.09487       0.64877       21618         16178118656   170514        4740239360    
chr11         raider        5             0.15767       0.93052       0.39836       0.79107       0.06948       0.60164       25248         16203366400   128222        4703760384    
chr11         raider        7             0.15281       0.90361       0.31626       0.7852        0.09639       0.68374       36039         15496986624   64937         4749152256    
chr11         raider        8             0.1492        0.91225       0.3316        0.78609       0.08775       0.6684        32425         16041758720   160265        4746481664    
chr11         rep_scout     NA            0.26221       0.98463       0.83274       0.8206        0.01537       0.16726       201636        3680534528    28878         4187373568    
chr22         raider        0             0.07934       0.98026       0.57066       0.76303       0.01974       0.42934       3620          3576799232    10961         1423355904    
chr22         raider        1             0.10881       0.93938       0.37245       0.7612        0.06062       0.62755       3612          3592536064    176510        1424097280    
chr22         raider        2             0.11449       0.92083       0.3235        0.75873       0.07917       0.6765        3608          1962950656    165673        1423347712    
chr22         raider        3             0.11587       0.90339       0.28396       0.7555        0.09661       0.71604       3612          2780733440    208909        1425502208    
chr22         raider        4             0.1064        0.94399       0.38582       0.7616        0.05601       0.61418       3614          3589783552    172894        1423577088    
chr22         raider        5             0.09673       0.95163       0.39806       0.76111       0.04837       0.60194       3626          3593330688    187341        1434906624    
chr22         raider        6             0.11633       0.89517       0.26845       0.75391       0.10483       0.73155       3641          3601920000    169536        1426432000    
chr22         raider        7             0.11817       0.90962       0.30184       0.75725       0.09038       0.69816       3644          3615096832    79438         1431277568    
chr22         raider        8             0.11677       0.91496       0.31226       0.75803       0.08504       0.68774       3644          3260284928    194499        1431076864    
chr22         rep_scout     NA            0.13241       0.99081       0.82655       0.77547       0.00919       0.17345       72047         876916736     39629         1403633664    
chr18         raider        0             0.20856       0.95811       0.56779       0.82106       0.04189       0.43221       21620         8225775616    94309         2823438336    
chr18         raider        1             0.30349       0.90284       0.45178       0.83089       0.09716       0.54822       0             0             18768         2387873792    
chr18         raider        2             0.31473       0.8906        0.43149       0.83125       0.1094        0.56851       18003         9585356800    79935         2389475328    
chr18         raider        3             0.31858       0.86188       0.37831       0.82741       0.13812       0.62169       18017         10131415040   173621        2808610816    
chr18         raider        4             0.29336       0.89095       0.41512       0.82696       0.10905       0.58488       18016         8313892864    36778         2397437952    
chr18         raider        5             0.26891       0.9307        0.50585       0.82833       0.0693        0.49415       21648         8341434368    66085         2824404992    
chr18         raider        6             0.27198       0.84171       0.31192       0.81421       0.15829       0.68808       28851         10163666944   13890         2824261632    
chr18         raider        8             0.27037       0.82578       0.29049       0.81096       0.17422       0.70951       0             0             138641        2407272448    
chr18         piler         NA            0.21012       0.99581       0.92971       0.82695       0.00419       0.07029       18000         680247296     82857         2342137856    
chr18         rep_scout     NA            0.56317       0.97394       0.85079       0.89419       0.02606       0.14921       0             0             133257        2334982144    
