org            	tool           	seed_num       	l              	w              	w/l            	f              	tpr            	tnr            	ToolCpuTime    	ToolMem        	ToolVMem       	ConCoverage    	QuCoverage     	seed                                    
mm10.chr19     	phRAIDER       	12             	44             	40             	0.909          	2              	0.123          	0.925          	55             	4345167872     	4471431168     	0.971          	0.355          		1^{7}01^{7}1^{4}01^{4}01^{7}1^{4}01^{7}
mm10.chr19     	phRAIDER       	8              	44             	40             	0.909          	2              	0.121          	0.929          	56             	3379798016     	3505790976     	0.969          	0.353          		1^{4}01^{3}01^{4}1^{4}1^{4}1^{4}1^{4}1^{4}1101^{3}01^{4}
mm10.chr19     	phRAIDER       	4              	44             	40             	0.909          	2              	0.122          	0.929          	55             	3187892224     	3313836032     	0.971          	0.354          		101^{16}01^{6}01^{16}01
mm10.chr19     	phRAIDER       	0              	44             	40             	0.909          	2              	0.12           	0.928          	56             	2308063232     	2434007040     	0.969          	0.352          		1^{5}01^{3}01^{5}1^{5}1^{5}1^{5}1^{3}101^{3}01^{5}
mm10.chr19     	phRAIDER       	30             	44             	40             	0.909          	2              	0.123          	0.927          	3601           	4052197376     	4180185088     	0.971          	0.355          		1^{9}01^{9}01^{4}01^{9}01^{9}
mm10.chr19     	phRAIDER       	26             	44             	40             	0.909          	2              	0.122          	0.928          	3601           	2292674560     	2418671616     	0.971          	0.355          		1^{8}01^{6}01^{8}1^{4}01^{6}01^{8}
mm10.chr19     	phRAIDER       	39             	44             	40             	0.909          	2              	0.119          	0.931          	55             	2117574656     	2243563520     	0.969          	0.352          		101^{5}01^{5}1^{5}1^{5}1^{5}1^{5}1^{3}01^{5}01
mm10.chr19     	phRAIDER       	22             	44             	40             	0.909          	2              	NA             	NA             	56             	4052516864     	4178411520     	0.97           	0.354          		1^{3}01^{3}1^{3}1101^{3}1^{3}1^{3}1^{3}1^{3}1^{3}01^{3}1^{3}1101^{3}
mm10.chr19     	phRAIDER       	35             	44             	40             	0.909          	2              	0.123          	0.928          	56             	2070716416     	2196606976     	0.971          	0.355          		1^{9}01^{6}01^{9}101^{6}01^{9}
mm10.chr19     	phRAIDER       	18             	44             	40             	0.909          	2              	0.122          	0.927          	56             	2072956928     	2198958080     	0.97           	0.354          		101^{13}01^{12}01^{13}01
mm10.chr19     	phRAIDER       	14             	44             	40             	0.909          	2              	0.121          	0.929          	59             	4051955712     	4177899520     	0.97           	0.354          		101^{9}01^{9}1^{9}1101^{9}01
mm10.chr19     	phRAIDER       	10             	44             	40             	0.909          	2              	0.122          	0.928          	56             	1386823680     	1512816640     	0.97           	0.353          		1^{7}01^{6}01^{7}1^{7}01^{6}01^{7}
mm10.chr19     	phRAIDER       	29             	44             	40             	0.909          	2              	0.123          	0.928          	3600           	4054011904     	4180230144     	0.972          	0.356          		1^{11}01^{6}01^{6}01^{6}01^{11}
mm10.chr19     	phRAIDER       	6              	44             	40             	0.909          	2              	0.119          	0.933          	56             	1130917888     	1256828928     	0.969          	0.352          		1101^{4}01^{4}1^{4}1^{4}1^{4}1^{4}1^{4}1^{4}01^{4}011
mm10.chr19     	phRAIDER       	36             	44             	40             	0.909          	2              	0.122          	0.93           	3600           	2011877376     	2137878528     	0.969          	0.352          		1^{6}01^{3}01^{6}1^{6}1^{6}1^{3}101^{3}01^{6}
