chr           tool          seed          tpr           tnr           ppv           npv           fpr           fdr           Time          Memory        RM_Time       RM_Mem        
chr12         raider        0             0.19591       0.8787        0.32597       0.78492       0.1213        0.67403       21620         16022777856   181826        2791763968    
chr12         raider        1             0.19598       0.87426       0.3182        0.78408       0.12574       0.6818        21619         16021217280   117095        2225393664    
chr12         raider        2             0.19609       0.87189       0.31429       0.78364       0.12811       0.68571       21641         16021049344   12790         2136002560    
chr12         raider        3             0.19633       0.8725        0.31558       0.78381       0.1275        0.68442       0             0             5721          2145693696    
chr12         raider        4             0.19633       0.87182       0.31443       0.78368       0.12818       0.68557       0             0             192945        2747809792    
chr12         raider        5             0.19644       0.87096       0.31312       0.78354       0.12904       0.68688       21647         16017285120   9424          2814660608    
chr12         raider        6             0.19652       0.86986       0.31136       0.78334       0.13014       0.68864       21650         15578087424   88700         2716594176    
chr20         raider        0             0.17928       0.88778       0.30367       0.7985        0.11222       0.69633       7238          7016153088    183983        1431502848    
chr20         raider        1             0.17974       0.88703       0.30279       0.79846       0.11297       0.69721       0             0             32872         1542791168    
chr20         raider        2             0.18035       0.88632       0.30219       0.79845       0.11368       0.69781       0             0             90465         1531711488    
chr20         raider        3             0.1808        0.8851        0.30047       0.79832       0.1149        0.69953       0             0             162445        1435525120    
chr20         raider        4             0.18113       0.8846        0.29994       0.79829       0.1154        0.70006       0             0             212852        1432018944    
chr20         raider        5             0.18144       0.88227       0.29611       0.79793       0.11773       0.70389       7249          7298064384    58099         1429217280    
chr20         raider        6             0.18176       0.87897       0.29075       0.79738       0.12103       0.70925       7250          7015448576    122924        1432911872    
chr15         raider        0             0.13948       0.94304       0.42414       0.78464       0.05696       0.57586       10819         9998381056    209262        1430482944    
chr15         raider        1             0.13944       0.9421        0.42006       0.78446       0.0579        0.57994       0             0             36508         1428549632    
chr15         raider        2             0.13936       0.94129       0.41655       0.7843        0.05871       0.58345       10829         10182107136   104930        1427202048    
chr15         raider        3             0.13918       0.94065       0.4136        0.78415       0.05935       0.5864        -1            -1            194904        1429061632    
chr15         raider        4             0.13916       0.94036       0.4124        0.7841        0.05964       0.5876        0             0             176924        1432215552    
chr15         raider        5             0.13905       0.94041       0.41241       0.78408       0.05959       0.58759       10832         9999241216    40152         1429598208    
chr15         raider        6             0.13896       0.93925       0.4076        0.78386       0.06075       0.5924        0             0             25844         1432965120    
chr21         raider        0             0.09274       0.9446        0.30931       0.79558       0.0554        0.69069       3616          2488602624    32493         1426178048    
chr21         raider        1             0.09308       0.94352       0.30598       0.79546       0.05648       0.69402       3612          2956496896    43285         1422880768    
chr21         raider        2             0.0935        0.94231       0.30242       0.79533       0.05769       0.69758       3613          3724775424    50489         1423708160    
chr21         raider        3             0.0937        0.94217       0.30236       0.79534       0.05783       0.69764       3615          3983831040    50517         1422602240    
chr21         raider        4             0.09386       0.94123       0.29933       0.7952        0.05877       0.70067       0             0             61303         1422180352    
chr21         raider        5             0.09403       0.94093       0.29864       0.79518       0.05907       0.70136       3616          3064684544    68511         1432879104    
chr21         raider        6             0.09414       0.93964       0.29438       0.79498       0.06036       0.70562       3617          3233140736    75706         1422143488    
chr11         raider        0             0.18617       0.9018        0.35614       0.79157       0.0982        0.64386       -1            -1            210229        1669607424    
chr11         raider        1             0.18621       0.89822       0.34803       0.79092       0.10178       0.65197       0             0             95143         2312896512    
chr11         raider        2             0.18652       0.89687       0.34543       0.79074       0.10313       0.65457       21633         15984099328   48365         2560237568    
chr11         raider        3             0.18658       0.89444       0.34023       0.7903        0.10556       0.65977       21621         15066615808   210369        1512833024    
chr11         raider        4             0.18647       0.89281       0.33668       0.78998       0.10719       0.66332       21623         15840190464   177970        1641824256    
chr11         raider        5             0.18654       0.88955       0.33012       0.78938       0.11045       0.66988       21629         16212856832   23388         2183565312    
chr11         raider        6             0.18656       0.88776       0.32659       0.78905       0.11224       0.67341       21652         15286452224   192486        2470834176    
chr19         raider        0             0.36198       0.84348       0.41464       0.8119        0.15652       0.58536       10846         7110213632    48133         1431310336    
chr19         raider        1             0.36246       0.85106       0.42706       0.81337       0.14894       0.57294       10846         7109177344    19329         1433178112    
chr19         raider        2             0.36291       0.85168       0.42839       0.81359       0.14832       0.57161       0             0             102288        1524649984    
chr19         raider        3             0.36309       0.8523        0.42953       0.81374       0.1477        0.57047       10846         7111061504    73540         1432059904    
chr19         raider        4             0.36318       0.85292       0.43063       0.81388       0.14708       0.56937       10849         7110778880    5269          1435598848    
chr19         raider        5             0.36336       0.85254       0.43011       0.81385       0.14746       0.56989       0             0             210447        1485250560    
chr19         raider        6             0.36344       0.85358       0.4319        0.81405       0.14642       0.5681        14408         7110565888    142190        1439473664    
chr18         raider        0             0.31863       0.86055       0.3761        0.8272        0.13945       0.6239        -1            -1            184453        1436012544    
chr18         raider        1             0.31874       0.85898       0.37355       0.82696       0.14102       0.62645       18006         8821370880    15386         1807335424    
chr18         raider        2             0.3183        0.85837       0.37223       0.82677       0.14163       0.62777       0             0             26160         1807511552    
chr18         raider        3             0.31809       0.8599        0.37462       0.82698       0.1401        0.62538       18019         8466120704    44194         1783586816    
chr18         raider        4             0.31807       0.85971       0.37428       0.82695       0.14029       0.62572       0             0             4668          1433714688    
chr18         raider        5             0.31806       0.85826       0.37187       0.8267        0.14174       0.62813       18020         9669820416    94578         1430523904    
chr18         raider        6             0.31818       0.85813       0.37175       0.82671       0.14187       0.62825       18015         8466145280    15509         1432707072    
