org            	tool           	seed_num       	l              	w              	w/l            	f              	tpr            	tnr            	ToolCpuTime    	ToolMem        	ToolVMem       	ConCoverage    	QuCoverage     	seed                                    
ce10.chrV      	RAIDER         	9              	30             	30             	1.0            	2              	0.651          	0.802          	7              	0              	0              	0.969          	0.709          		1^{30}
ce10.chrV      	RAIDER         	7              	35             	35             	1.0            	2              	0.658          	0.787          	7              	0              	0              	0.969          	0.723          		1^{35}
ce10.chrV      	RAIDER         	6              	40             	40             	1.0            	2              	0.658          	0.775          	8              	0              	0              	0.963          	0.735          		1^{40}
ce10.chrV      	RAIDER         	5              	42             	40             	0.952          	2              	0.648          	0.773          	8              	0              	0              	0.967          	0.746          		1^{11}01^{11}1^{7}01^{11}
ce10.chrV      	RAIDER         	3              	44             	40             	0.909          	2              	0.652          	0.776          	8              	0              	0              	0.966          	0.748          		1^{3}0101^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}110101^{3}
ce10.chrV      	RAIDER         	8              	45             	45             	1.0            	2              	0.657          	0.768          	8              	0              	0              	0.956          	0.745          		1^{45}
ce10.chrV      	RAIDER         	4              	46             	40             	0.87           	2              	0.635          	0.78           	8              	0              	0              	0.968          	0.757          		1^{6}0101^{6}1^{6}01101^{6}1^{6}0101^{6}
ce10.chrV      	RAIDER         	2              	46             	40             	0.87           	2              	0.632          	0.781          	8              	0              	0              	0.97           	0.759          		1^{6}01^{6}1^{5}01^{3}001^{3}01^{6}1^{5}01^{6}
ce10.chrV      	RAIDER         	1              	48             	40             	0.833          	2              	0.626          	0.773          	8              	2109440        	117092352      	0.97           	0.763          		1^{8}001^{8}10101^{4}0101^{8}1001^{8}
ce10.chrV      	RAIDER         	0              	50             	40             	0.8            	2              	0.617          	0.78           	9              	1486848        	112934912      	0.971          	0.777          		1^{3}01^{3}1^{3}01^{3}001^{3}1^{3}101011001^{3}101^{3}01^{3}1^{3}1^{3}11
ce10.chrV      	RAIDER         	10             	50             	50             	1.0            	2              	0.651          	0.759          	9              	186568704      	312553472      	0.946          	0.752          		1^{50}
ce10.chrV      	RepeatScout    	-1             	NA             	NA             	NA             	2              	0.698          	0.891          	3651           	203628544      	329994240      	0.985          	0.663          		NA
ce10.chrV      	phRAIDER       	9              	30             	30             	1.0            	2              	0.669          	0.804          	7              	0              	0              	0.969          	0.713          		1^{30}
ce10.chrV      	phRAIDER       	7              	35             	35             	1.0            	2              	0.686          	0.794          	7              	0              	0              	0.969          	0.729          		1^{35}
ce10.chrV      	phRAIDER       	6              	40             	40             	1.0            	2              	0.687          	0.785          	8              	0              	0              	0.963          	0.74           		1^{40}
ce10.chrV      	phRAIDER       	5              	42             	40             	0.952          	2              	0.699          	0.774          	8              	0              	0              	0.965          	0.754          		1^{11}01^{11}1^{7}01^{11}
ce10.chrV      	phRAIDER       	3              	44             	40             	0.909          	2              	0.693          	0.778          	8              	0              	0              	0.963          	0.752          		1^{3}0101^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}110101^{3}
ce10.chrV      	phRAIDER       	8              	45             	45             	1.0            	2              	0.688          	0.778          	8              	0              	0              	0.955          	0.748          		1^{45}
ce10.chrV      	phRAIDER       	4              	46             	40             	0.87           	2              	0.703          	0.775          	8              	0              	0              	0.964          	0.764          		1^{6}0101^{6}1^{6}01101^{6}1^{6}0101^{6}
ce10.chrV      	phRAIDER       	2              	46             	40             	0.87           	2              	0.703          	0.759          	8              	0              	0              	0.967          	0.767          		1^{6}01^{6}1^{5}01^{3}001^{3}01^{6}1^{5}01^{6}
ce10.chrV      	phRAIDER       	1              	48             	40             	0.833          	2              	0.703          	0.763          	9              	0              	0              	0.966          	0.77           		1^{8}001^{8}10101^{4}0101^{8}1001^{8}
ce10.chrV      	phRAIDER       	0              	50             	40             	0.8            	2              	0.706          	0.759          	9              	0              	0              	0.967          	0.785          		1^{3}01^{3}1^{3}01^{3}001^{3}1^{3}101011001^{3}101^{3}01^{3}1^{3}1^{3}11
ce10.chrV      	phRAIDER       	10             	50             	50             	1.0            	2              	0.685          	0.78           	9              	0              	0              	0.945          	0.754          		1^{50}
hg38.chr1      	RAIDER         	9              	30             	30             	1.0            	2              	NA             	NA             	NA             	NA             	NA             	NA             	NA             		1^{30}
hg38.chr1      	RAIDER         	7              	35             	35             	1.0            	2              	NA             	NA             	NA             	NA             	NA             	NA             	NA             		1^{35}
hg38.chr1      	RAIDER         	6              	40             	40             	1.0            	2              	NA             	NA             	NA             	NA             	NA             	NA             	NA             		1^{40}
hg38.chr1      	RAIDER         	5              	42             	40             	0.952          	2              	NA             	NA             	NA             	NA             	NA             	NA             	NA             		1^{11}01^{11}1^{7}01^{11}
hg38.chr1      	RAIDER         	3              	44             	40             	0.909          	2              	NA             	NA             	NA             	NA             	NA             	NA             	NA             		1^{3}0101^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}110101^{3}
hg38.chr1      	RAIDER         	8              	45             	45             	1.0            	2              	NA             	NA             	NA             	NA             	NA             	NA             	NA             		1^{45}
hg38.chr1      	RAIDER         	4              	46             	40             	0.87           	2              	NA             	NA             	NA             	NA             	NA             	NA             	NA             		1^{6}0101^{6}1^{6}01101^{6}1^{6}0101^{6}
hg38.chr1      	RAIDER         	2              	46             	40             	0.87           	2              	NA             	NA             	NA             	NA             	NA             	NA             	NA             		1^{6}01^{6}1^{5}01^{3}001^{3}01^{6}1^{5}01^{6}
hg38.chr1      	RAIDER         	1              	48             	40             	0.833          	2              	NA             	NA             	NA             	NA             	NA             	NA             	NA             		1^{8}001^{8}10101^{4}0101^{8}1001^{8}
hg38.chr1      	RAIDER         	0              	50             	40             	0.8            	2              	NA             	NA             	NA             	NA             	NA             	NA             	NA             		1^{3}01^{3}1^{3}01^{3}001^{3}1^{3}101011001^{3}101^{3}01^{3}1^{3}1^{3}11
hg38.chr1      	RAIDER         	10             	50             	50             	1.0            	2              	NA             	NA             	NA             	NA             	NA             	NA             	NA             		1^{50}
hg38.chr1      	RepeatScout    	-1             	NA             	NA             	NA             	2              	0.296          	0.924          	162006         	1990090752     	2393370624     	0.991          	0.482          		NA
hg38.chr1      	phRAIDER       	9              	30             	30             	1.0            	2              	NA             	NA             	NA             	NA             	NA             	NA             	NA             		1^{30}
hg38.chr1      	phRAIDER       	7              	35             	35             	1.0            	2              	NA             	NA             	NA             	NA             	NA             	NA             	NA             		1^{35}
hg38.chr1      	phRAIDER       	6              	40             	40             	1.0            	2              	NA             	NA             	NA             	NA             	NA             	NA             	NA             		1^{40}
hg38.chr1      	phRAIDER       	5              	42             	40             	0.952          	2              	NA             	NA             	NA             	NA             	NA             	NA             	NA             		1^{11}01^{11}1^{7}01^{11}
hg38.chr1      	phRAIDER       	3              	44             	40             	0.909          	2              	NA             	NA             	NA             	NA             	NA             	NA             	NA             		1^{3}0101^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}110101^{3}
hg38.chr1      	phRAIDER       	8              	45             	45             	1.0            	2              	NA             	NA             	NA             	NA             	NA             	NA             	NA             		1^{45}
hg38.chr1      	phRAIDER       	2              	46             	40             	0.87           	2              	NA             	NA             	NA             	NA             	NA             	NA             	NA             		1^{6}01^{6}1^{5}01^{3}001^{3}01^{6}1^{5}01^{6}
hg38.chr1      	phRAIDER       	4              	46             	40             	0.87           	2              	NA             	NA             	NA             	NA             	NA             	NA             	NA             		1^{6}0101^{6}1^{6}01101^{6}1^{6}0101^{6}
hg38.chr1      	phRAIDER       	1              	48             	40             	0.833          	2              	NA             	NA             	NA             	NA             	NA             	NA             	NA             		1^{8}001^{8}10101^{4}0101^{8}1001^{8}
hg38.chr1      	phRAIDER       	0              	50             	40             	0.8            	2              	NA             	NA             	14438          	19164954624    	19315773440    	0.978          	0.45           		1^{3}01^{3}1^{3}01^{3}001^{3}1^{3}101011001^{3}101^{3}01^{3}1^{3}1^{3}11
hg38.chr1      	phRAIDER       	10             	50             	50             	1.0            	2              	NA             	NA             	NA             	NA             	NA             	NA             	NA             		1^{50}
hg38.chr22     	RAIDER         	9              	30             	30             	1.0            	2              	0.133          	0.815          	31             	0              	0              	0.968          	0.441          		1^{30}
hg38.chr22     	RAIDER         	7              	35             	35             	1.0            	2              	0.136          	0.78           	35             	1413201920     	1540739072     	0.971          	0.456          		1^{35}
hg38.chr22     	RAIDER         	6              	40             	40             	1.0            	2              	0.138          	0.745          	37             	2584694784     	2710659072     	0.971          	0.468          		1^{40}
hg38.chr22     	RAIDER         	5              	42             	40             	0.952          	2              	0.136          	0.775          	39             	0              	0              	0.972          	0.474          		1^{11}01^{11}1^{7}01^{11}
hg38.chr22     	RAIDER         	3              	44             	40             	0.909          	2              	0.138          	0.744          	39             	1399689216     	1527242752     	0.972          	0.476          		1^{3}0101^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}110101^{3}
hg38.chr22     	RAIDER         	8              	45             	45             	1.0            	2              	0.138          	0.741          	39             	2323066880     	2449006592     	0.967          	0.476          		1^{45}
hg38.chr22     	RAIDER         	4              	46             	40             	0.87           	2              	0.134          	0.756          	38             	545517568      	671498240      	0.973          	0.482          		1^{6}0101^{6}1^{6}01101^{6}1^{6}0101^{6}
hg38.chr22     	RAIDER         	2              	46             	40             	0.87           	2              	0.132          	0.766          	40             	1978605568     	2104717312     	0.974          	0.483          		1^{6}01^{6}1^{5}01^{3}001^{3}01^{6}1^{5}01^{6}
hg38.chr22     	RAIDER         	1              	48             	40             	0.833          	2              	0.133          	0.771          	40             	0              	0              	0.975          	0.486          		1^{8}001^{8}10101^{4}0101^{8}1001^{8}
hg38.chr22     	RAIDER         	0              	50             	40             	0.8            	2              	0.132          	0.795          	41             	2477551616     	2603667456     	0.976          	0.491          		1^{3}01^{3}1^{3}01^{3}001^{3}1^{3}101011001^{3}101^{3}01^{3}1^{3}1^{3}11
hg38.chr22     	RAIDER         	10             	50             	50             	1.0            	2              	0.138          	0.735          	42             	949100544      	1075073024     	0.962          	0.484          		1^{50}
hg38.chr22     	RepeatScout    	-1             	NA             	NA             	NA             	2              	0.165          	0.967          	28816          	312954880      	472924160      	0.989          	0.472          		NA
hg38.chr22     	phRAIDER       	9              	30             	30             	1.0            	2              	0.135          	0.837          	34             	518881280      	644763648      	0.968          	0.443          		1^{30}
hg38.chr22     	phRAIDER       	7              	35             	35             	1.0            	2              	0.141          	0.868          	36             	492441600      	618373120      	0.971          	0.458          		1^{35}
hg38.chr22     	phRAIDER       	6              	40             	40             	1.0            	2              	0.142          	0.843          	38             	1373937664     	1501573120     	0.971          	0.469          		1^{40}
hg38.chr22     	phRAIDER       	5              	42             	40             	0.952          	2              	0.146          	0.825          	39             	2768916480     	2894917632     	0.972          	0.477          		1^{11}01^{11}1^{7}01^{11}
hg38.chr22     	phRAIDER       	3              	44             	40             	0.909          	2              	0.145          	0.82           	40             	2783711232     	2909724672     	0.972          	0.478          		1^{3}0101^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}110101^{3}
hg38.chr22     	phRAIDER       	8              	45             	45             	1.0            	2              	0.143          	0.843          	38             	212320256      	338731008      	0.967          	0.477          		1^{45}
hg38.chr22     	phRAIDER       	2              	46             	40             	0.87           	2              	0.147          	0.789          	39             	866742272      	992665600      	0.974          	0.486          		1^{6}01^{6}1^{5}01^{3}001^{3}01^{6}1^{5}01^{6}
hg38.chr22     	phRAIDER       	4              	46             	40             	0.87           	2              	0.147          	0.832          	41             	0              	0              	0.973          	0.485          		1^{6}0101^{6}1^{6}01101^{6}1^{6}0101^{6}
hg38.chr22     	phRAIDER       	1              	48             	40             	0.833          	2              	0.145          	0.779          	39             	104173568      	231206912      	0.974          	0.488          		1^{8}001^{8}10101^{4}0101^{8}1001^{8}
hg38.chr22     	phRAIDER       	0              	50             	40             	0.8            	2              	0.15           	0.874          	40             	2085142528     	2211282944     	0.976          	0.493          		1^{3}01^{3}1^{3}01^{3}001^{3}1^{3}101011001^{3}101^{3}01^{3}1^{3}1^{3}11
hg38.chr22     	phRAIDER       	10             	50             	50             	1.0            	2              	0.144          	0.844          	42             	2013122560     	2139209728     	0.961          	0.485          		1^{50}
mm10.chr19     	RAIDER         	9              	30             	30             	1.0            	2              	0.107          	0.938          	45             	3832659968     	3958669312     	0.969          	0.33           		1^{30}
mm10.chr19     	RAIDER         	7              	35             	35             	1.0            	2              	0.108          	0.937          	51             	3711553536     	3837583360     	0.971          	0.338          		1^{35}
mm10.chr19     	RAIDER         	6              	40             	40             	1.0            	2              	0.108          	0.93           	55             	3159310336     	3285348352     	0.968          	0.342          		1^{40}
mm10.chr19     	RAIDER         	5              	42             	40             	0.952          	2              	0.099          	0.93           	54             	3487801344     	3613962240     	0.97           	0.345          		1^{11}01^{11}1^{7}01^{11}
mm10.chr19     	RAIDER         	3              	44             	40             	0.909          	2              	0.104          	0.929          	57             	2970947584     	3096956928     	0.97           	0.347          		1^{3}0101^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}110101^{3}
mm10.chr19     	RAIDER         	8              	45             	45             	1.0            	2              	0.107          	0.928          	55             	1459208192     	1585250304     	0.963          	0.348          		1^{45}
mm10.chr19     	RAIDER         	4              	46             	40             	0.87           	2              	0.092          	0.935          	59             	2979762176     	3105943552     	0.972          	0.352          		1^{6}0101^{6}1^{6}01101^{6}1^{6}0101^{6}
mm10.chr19     	RAIDER         	2              	46             	40             	0.87           	2              	0.091          	0.938          	55             	1636827136     	1762918400     	0.973          	0.353          		1^{6}01^{6}1^{5}01^{3}001^{3}01^{6}1^{5}01^{6}
mm10.chr19     	RAIDER         	1              	48             	40             	0.833          	2              	0.089          	0.936          	3601           	3413385216     	3539443712     	0.973          	0.355          		1^{8}001^{8}10101^{4}0101^{8}1001^{8}
