chr           tool          seed          tpr           tnr           ppv           npv           fpr           fdr           Time          Memory        RM_Time       RM_Mem        
chr12         raider        0             0.74759       0.74871       0.44512       0.91667       0.25129       0.55488       100839        13456510976   93785         4404797440    
chr12         raider        1             0.75062       0.7448        0.4423        0.91719       0.2552        0.5577        0             0             158668        5052030976    
chr12         raider        2             0.7522        0.73852       0.43683       0.91703       0.26148       0.56317       108014        12251004928   90411         4391874560    
chr12         raider        3             0.75384       0.73464       0.43375       0.91714       0.26536       0.56625       104457        13204221952   76128         5028442112    
chr12         raider        4             0.75404       0.72595       0.42592       0.91629       0.27405       0.57408       0             0             97812         4039811072    
chr12         raider        5             0.75573       0.72398       0.42471       0.91661       0.27602       0.57529       115251        13371723776   29508         4454821888    
chr12         raider        6             0.75648       0.71878       0.4204        0.91629       0.28122       0.5796        111644        13446537216   173550        5005991936    
chr12         rep_scout     NA            0.98591       0.96254       0.87648       0.99607       0.03746       0.12352       194434        2725257216    104592        1431650304    
chr20         raider        0             0.76426       0.76474       0.45176       0.92748       0.23526       0.54824       46831         5879341056    213291        1954480128    
chr20         raider        1             0.7663        0.75919       0.44666       0.92757       0.24081       0.55334       43244         5898362880    166462        1608491008    
chr20         raider        2             0.76729       0.75384       0.44154       0.92738       0.24616       0.55846       0             0             184541        2401415168    
chr20         raider        3             0.7692        0.75588       0.44421       0.92812       0.24412       0.55579       0             0             19012         2429104128    
chr20         raider        4             0.77089       0.75037       0.43924       0.92812       0.24963       0.56076       0             0             98209         2372616192    
chr20         raider        5             0.77293       0.74711       0.43671       0.92843       0.25289       0.56329       50430         6381027328    180985        1698369536    
chr20         raider        6             0.77451       0.74116       0.4315        0.92836       0.25884       0.5685        46836         6466072576    123475        2028900352    
chr20         rep_scout     NA            0.9797        0.96713       0.88319       0.9947        0.03287       0.11681       129639        1310826496    176442        1409785856    
chr15         raider        0             0.78469       0.64076       0.36293       0.91943       0.35924       0.63707       61250         8069189632    156584        3458240512    
chr15         raider        1             0.78637       0.63521       0.35988       0.91936       0.36479       0.64012       64817         7665664000    189048        3432722432    
chr15         raider        2             0.78825       0.65182       0.37124       0.92189       0.34818       0.62876       61223         7664750592    19811         2994462720    
chr15         raider        3             0.78997       0.64857       0.36958       0.92212       0.35143       0.63042       61243         7662616576    116972        3133239296    
chr15         raider        4             0.79055       0.65278       0.37257       0.92278       0.34722       0.62743       61233         8255438848    192650        3233722368    
chr15         raider        5             0.79151       0.65161       0.37207       0.92298       0.34839       0.62793       68426         7662055424    34373         3643256832    
chr15         raider        6             0.79223       0.64637       0.3688        0.92265       0.35363       0.6312        68438         8252805120    63153         3199889408    
chr15         rep_scout     NA            0.98407       0.96457       0.8787        0.99571       0.03543       0.1213        0             0             28900         1423020032    
chr21         raider        0             0.83869       0.71838       0.40467       0.95125       0.28162       0.59533       18011         3577315328    300           1565765632    
chr21         raider        1             0.8406        0.71585       0.40306       0.95164       0.28415       0.59694       18025         3576352768    11115         1430040576    
chr21         raider        2             0.84228       0.70986       0.39853       0.95174       0.29014       0.60147       18033         3577151488    32738         1745616896    
chr21         raider        3             0.8433        0.70539       0.39516       0.95174       0.29461       0.60484       18021         3688480768    54300         1537851392    
chr21         raider        4             0.8446        0.70221       0.39296       0.95192       0.29779       0.60704       18014         3575644160    72303         1426452480    
chr21         raider        5             0.84554       0.69906       0.39072       0.95199       0.30094       0.60928       18035         3574824960    90313         1737670656    
chr21         raider        6             0.84619       0.70001       0.39165       0.95224       0.29999       0.60835       0             0             90351         1427636224    
chr21         rep_scout     NA            0.96276       0.9742        0.89493       0.99135       0.0258        0.10507       72056         675729408     82859         1406111744    
chr11         raider        0             0.72178       0.74845       0.42693       0.91198       0.25155       0.57307       104445        13660266496   17799         4923834368    
chr11         raider        1             0.72406       0.7492        0.42843       0.91272       0.2508        0.57157       108000        12546789376   154512        4186558464    
chr11         raider        2             0.72586       0.74633       0.42625       0.91294       0.25367       0.57375       111617        13746786304   212212        4206534656    
chr11         raider        3             0.72846       0.74265       0.42361       0.9133        0.25735       0.57639       111618        13747113984   46699         5203038208    
chr11         raider        4             0.72885       0.73755       0.41895       0.91286       0.26245       0.58105       108047        13243842560   161909        5070540800    
chr11         raider        5             0.73076       0.7319        0.41441       0.91282       0.2681        0.58559       108031        13251649536   140416        4909015040    
chr11         raider        6             0.73229       0.72243       0.40652       0.91223       0.27757       0.59348       111610        13202509824   75665         5169836032    
chr11         rep_scout     NA            0.98491       0.96071       0.86681       0.99594       0.03929       0.13319       187243        2811125760    47019         1880862720    
chr19         raider        0             0.88229       0.5723        0.36006       0.94688       0.4277        0.63994       57638         6500900864    107040        2910404608    
chr19         raider        1             0.88471       0.58217       0.3661        0.94875       0.41783       0.6339        61228         5907591168    13506         3482767360    
chr19         raider        2             0.88635       0.56645       0.35799       0.94811       0.43355       0.64201       0             0             200759        2944978944    
chr19         raider        3             0.88847       0.53849       0.3443        0.94653       0.46151       0.6557        -1            -1            197272        3291717632    
chr19         raider        4             0.89045       0.5547        0.35292       0.94889       0.4453        0.64708       61221         5906137088    46115         2913726464    
chr19         raider        5             0.89243       0.54749       0.34977       0.94914       0.45251       0.65023       64825         5905604608    3048          3166240768    
chr19         raider        6             0.89305       0.54752       0.34994       0.94942       0.45248       0.65006       61259         6051250176    78624         2933784576    
chr19         rep_scout     NA            0.97479       0.94187       0.82058       0.99275       0.05813       0.17942       140423        1433362432    86472         1428185088    
chr18         raider        0             0.79384       0.76088       0.44539       0.93849       0.23912       0.55461       43231         7209279488    180952        2217472000    
chr18         raider        1             0.79461       0.75917       0.44386       0.93858       0.24083       0.55614       46848         7402582016    126951        2137911296    
chr18         raider        2             0.79649       0.75592       0.44115       0.93886       0.24408       0.55885       46844         7800401920    198917        2437296128    
chr18         raider        3             0.79815       0.75202       0.43775       0.93903       0.24798       0.56225       46834         7206170624    62199         2294099968    
chr18         raider        4             0.79885       0.74832       0.43432       0.93895       0.25168       0.56568       50415         7204581376    141362        2822328320    
chr18         raider        5             0.79932       0.74261       0.42896       0.93864       0.25739       0.57104       50433         7271796736    4679          2826629120    
chr18         raider        6             0.79963       0.73747       0.42422       0.93833       0.26253       0.57578       46817         7779811328    87477         2480369664    
chr18         rep_scout     NA            0.97716       0.97369       0.89985       0.99436       0.02631       0.10015       108038        2004045824    208828        1416732672    
