org            	tool           	seed_num       	l              	w              	w/l            	f              	tpr            	tnr            	ToolCpuTime    	ToolMem        	ToolVMem       	ConCoverage    	QuCoverage     	seed                                    
hg38.chr22     	RepeatScout    	-1             	NA             	NA             	NA             	2              	NA             	NA             	NA             	NA             	NA             	NA             	NA             		NA
hg38.chr22     	phRAIDER       	6              	40             	40             	1.0            	2              	0.142          	0.843          	40             	2654175232     	2776551424     	0.971          	0.469          		1^{40}
hg38.chr22     	phRAIDER       	5              	45             	40             	0.889          	2              	0.146          	0.879          	0              	0              	0              	0.975          	0.48           		1^{20}0^{5}1^{20}
hg38.chr22     	phRAIDER       	4              	45             	40             	0.889          	2              	0.145          	0.896          	40             	0              	0              	0.973          	0.48           		1^{38}0^{5}1^{2}
hg38.chr22     	phRAIDER       	3              	50             	40             	0.8            	2              	0.148          	0.816          	45             	2927763456     	3050315776     	0.976          	0.493          		1^{8}01^{3}0010101^{3}101^{8}01^{8}1^{3}1001011
hg38.chr22     	phRAIDER       	2              	50             	40             	0.8            	2              	0.149          	0.827          	45             	2954407936     	3076931584     	0.977          	0.493          		1^{9}01^{4}01^{3}01^{3}0100101^{3}01^{3}01^{4}01^{9}
hg38.chr22     	phRAIDER       	1              	50             	40             	0.8            	2              	0.15           	0.874          	46             	2953789440     	3076341760     	0.976          	0.493          		1^{3}01^{3}1^{3}01^{3}001^{3}1^{3}101011001^{3}101^{3}01^{3}1^{3}1^{3}11
hg38.chr22     	phRAIDER       	0              	50             	40             	0.8            	2              	0.149          	0.792          	45             	2070777856     	2193321984     	0.976          	0.491          		1^{10}01^{3}01^{3}1101^{10}001^{3}101^{3}101^{3}0^{3}1
hg38.chr22     	RepeatScout    	-1             	NA             	NA             	NA             	3              	NA             	NA             	NA             	NA             	NA             	NA             	NA             		NA
hg38.chr22     	phRAIDER       	6              	40             	40             	1.0            	3              	0.124          	0.769          	40             	1585152        	112934912      	0.975          	0.459          		1^{40}
hg38.chr22     	phRAIDER       	5              	45             	40             	0.889          	3              	0.127          	0.816          	41             	2893373440     	3017342976     	0.977          	0.475          		1^{20}0^{5}1^{20}
hg38.chr22     	phRAIDER       	4              	45             	40             	0.889          	3              	0.128          	0.774          	40             	2766184448     	2890121216     	0.977          	0.469          		1^{38}0^{5}1^{2}
hg38.chr22     	phRAIDER       	2              	50             	40             	0.8            	3              	0.131          	0.78           	42             	1037762560     	1160114176     	0.98           	0.482          		1^{9}01^{4}01^{3}01^{3}0100101^{3}01^{3}01^{4}01^{9}
hg38.chr22     	phRAIDER       	0              	50             	40             	0.8            	3              	0.131          	0.787          	44             	2912165888     	3034697728     	0.98           	0.481          		1^{10}01^{3}01^{3}1101^{10}001^{3}101^{3}101^{3}0^{3}1
hg38.chr22     	phRAIDER       	3              	50             	40             	0.8            	3              	0.131          	0.738          	43             	217985024      	340443136      	0.979          	0.48           		1^{8}01^{3}0010101^{3}101^{8}01^{8}1^{3}1001011
hg38.chr22     	phRAIDER       	1              	50             	40             	0.8            	3              	0.131          	0.769          	43             	2249584640     	2372161536     	0.979          	0.48           		1^{3}01^{3}1^{3}01^{3}001^{3}1^{3}101011001^{3}101^{3}01^{3}1^{3}1^{3}11
