   SW   perc perc perc  query     position in query              matching   repeat        position in repeat
score   div. del. ins.  sequence  begin    end          (left)   repeat     class/family begin  end    (left)    ID

  393    0.0  0.0  0.0  seq_file      2056     2102 (15070321) + repeat3659 Unspecified      1     47    (0)     1 *
  490    0.0  0.0  0.0  seq_file      2077     2130 (15070293) C repeat5958 Unspecified    (0)     54      1     2 *
  702    0.0  0.0  0.0  seq_file      2085     2165 (15070258) + repeat5932 Unspecified      1     81    (0)     3  
  298    0.0  0.0  0.0  seq_file      2141     2178 (15070245) C repeat4563 Unspecified    (0)     38      1     4 *
  460    0.0  0.0  0.0  seq_file      2155     2209 (15070214) + repeat5935 Unspecified      1     55    (0)     5 *
  509    3.3  0.0  0.0  seq_file      2188     2247 (15070176) C repeat5955 Unspecified    (0)     60      1     6  
  300    2.4  0.0  0.0  seq_file      2221     2261 (15070162) C repeat3670 Unspecified    (0)     41      1     7 *
  372    0.0  0.0  0.0  seq_file      2233     2277 (15070146) + repeat4560 Unspecified      1     45    (0)     8 *
  485    0.0  0.0  0.0  seq_file      2252     2307 (15070116) + repeat5938 Unspecified      1     56    (0)     9  
  446    0.0  0.0  0.0  seq_file      2280     2338 (15070085) C repeat5951 Unspecified    (0)     59      1    10 *
 1008    0.0  0.0  0.0  seq_file      2347     2465 (15069958) + repeat5941 Unspecified      1    119    (0)    11  
 1016    0.0  0.0  0.0  seq_file      2493     2617 (15069806) + repeat5942 Unspecified      1    125    (0)    12  
  670    0.0  0.0  0.0  seq_file      2661     2733 (15069690) + repeat5944 Unspecified      1     73    (0)    13  
  350    0.0  0.0  0.0  seq_file      2753     2795 (15069628) + repeat5945 Unspecified      1     43    (0)    14  
 2086    0.0  0.0  0.0  seq_file      2797     3027 (15069396) + repeat5946 Unspecified      1    231    (0)    15  
  290    0.0  0.0  0.0  seq_file      3124     3156 (15069267) + repeat5947 Unspecified      1     33    (0)    16 *
  908    0.0  0.0  0.0  seq_file      3151     3255 (15069168) + repeat5948 Unspecified      1    105    (0)    17 *
 1008    0.0  0.0  0.0  seq_file      3239     3357 (15069066) C repeat5941 Unspecified    (0)    119      1    18  
  446    0.0  0.0  0.0  seq_file      3367     3425 (15068998) + repeat5951 Unspecified      1     59    (0)    19  
  445    3.6  0.0  0.0  seq_file      3398     3453 (15068970) C repeat5938 Unspecified    (0)     56      1    20 *
  331    4.4  0.0  0.0  seq_file      3428     3472 (15068951) C repeat4560 Unspecified    (0)     45      1    21 *
  319    0.0  0.0  0.0  seq_file      3444     3484 (15068939) + repeat3670 Unspecified      1     41    (0)    22 *
  539    0.0  0.0  0.0  seq_file      3458     3517 (15068906) + repeat5955 Unspecified      1     60    (0)    23  
  441    1.8  0.0  0.0  seq_file      3496     3550 (15068873) C repeat5935 Unspecified    (0)     55      1    24 *
  286    2.6  0.0  0.0  seq_file      3527     3564 (15068859) + repeat4563 Unspecified      1     38    (0)    25 *
  679    1.2  0.0  0.0  seq_file      3540     3620 (15068803) C repeat5932 Unspecified    (0)     81      1    26  
  490    0.0  0.0  0.0  seq_file      3575     3628 (15068795) + repeat5958 Unspecified      1     54    (0)    27 *
  393    0.0  0.0  0.0  seq_file      3603     3649 (15068774) C repeat3659 Unspecified    (0)     47      1    28 *
  234   13.9  0.0  0.0  seq_file      4625     4660 (15067763) C repeat4551 Unspecified    (0)     36      1    29 *
  261   11.4  0.0  0.0  seq_file      4630     4664 (15067759) + repeat5662 Unspecified      3     37    (0)    30  
  357   14.3  1.2  5.1  seq_file      7166     7246 (15065177) + repeat5932 Unspecified      1     78    (3)    31  
  414    0.0  0.0  0.0  seq_file      9441     9487 (15062936) + repeat6880 Unspecified      1     47    (0)    32  
  322   10.6  0.0  0.0  seq_file      9452     9498 (15062925) C repeat5772 Unspecified    (0)     47      1    33 *
  331    0.0  0.0  0.0  seq_file      9461     9497 (15062926) + repeat7023 Unspecified      1     37    (0)    34 *
  333    0.0  0.0  0.0  seq_file      9471     9508 (15062915) C repeat6188 Unspecified    (0)     39      2    35  
  227   13.2  0.0  5.3  seq_file     10805    10844 (15061579) + repeat5514 Unspecified     66    103   (14)    36 *
  286    5.4  0.0  0.0  seq_file     10815    10851 (15061572) + repeat2697 Unspecified      1     37    (0)    37  
  373   13.9 19.4  0.0  seq_file     10941    11012 (15061411) C repeat5514 Unspecified   (18)     99     14    38  
  503   16.6  6.6  3.7  seq_file     14792    14897 (15057526) C repeat5514 Unspecified    (8)    109      1    39  
  332    6.8  0.0  0.0  seq_file     15528    15571 (15056852) C repeat4047 Unspecified    (0)     44      1    40  
  304    5.3  0.0  0.0  seq_file     15545    15582 (15056841) C repeat5727 Unspecified    (0)     38      1    41 *
  468    1.8  0.0  0.0  seq_file     15549    15603 (15056820) C repeat4472 Unspecified    (0)     55      1    42  
  368    7.8  0.0  0.0  seq_file     15566    15616 (15056807) C repeat4164 Unspecified    (0)     51      1    43 *
  342    0.0  0.0  0.0  seq_file     15583    15621 (15056802) + repeat5009 Unspecified      1     39    (0)    44 *
  274   11.1  0.0  2.2  seq_file     15588    15633 (15056790) C repeat4671 Unspecified    (0)     45      1    45 *
  318    0.0  0.0  0.0  seq_file     15591    15625 (15056798) C repeat5726 Unspecified    (0)     35      1    46 *
  423    2.0  0.0  0.0  seq_file     15598    15647 (15056776) C repeat4044 Unspecified    (0)     50      1    47  
  372    0.0  0.0  0.0  seq_file     15613    15656 (15056767) + repeat4464 Unspecified      1     44    (0)    48 *
  282    0.0  0.0  0.0  seq_file     15630    15663 (15056760) C repeat3067 Unspecified    (0)     34      1    49 *
