org            	tool           	seed_num       	l              	w              	w/l            	f              	tpr            	tnr            	ToolCpuTime    	ToolMem        	ToolVMem       	ConCoverage    	QuCoverage     	seed                                    
hg38.chr22     	phRAIDER       	0              	40             	40             	1.0            	2              	0.142          	0.843          	39             	2191978496     	2314424320     	0.971          	0.469          		1^{40}
hg38.chr22     	phRAIDER       	4              	42             	40             	0.952          	2              	0.145          	0.834          	44             	2654863360     	2780618752     	0.973          	0.479          		1^{16}01^{8}01^{16}
hg38.chr22     	phRAIDER       	5              	42             	40             	0.952          	2              	0.144          	0.813          	42             	2656202752     	2778529792     	0.972          	0.474          		1^{7}01^{7}1^{7}1^{7}1^{5}01^{7}
hg38.chr22     	phRAIDER       	10             	42             	40             	0.952          	2              	0.144          	0.816          	42             	2336993280     	2459406336     	0.971          	0.473          		1^{3}01^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}101^{3}
hg38.chr22     	phRAIDER       	11             	42             	40             	0.952          	2              	0.144          	0.802          	41             	2654576640     	2778468352     	0.972          	0.474          		1^{6}01^{6}1^{6}1^{6}1^{6}1^{4}01^{6}
hg38.chr22     	phRAIDER       	14             	42             	40             	0.952          	2              	0.143          	0.802          	41             	567889920      	690216960      	0.971          	0.475          		101^{38}01
hg38.chr22     	phRAIDER       	15             	42             	40             	0.952          	2              	0.146          	0.825          	43             	2657529856     	2779815936     	0.972          	0.477          		1^{11}01^{11}1^{7}01^{11}
hg38.chr22     	phRAIDER       	8              	42             	40             	0.952          	2              	0.145          	0.807          	41             	2657632256     	2779971584     	0.972          	0.477          		1^{12}01^{12}1^{4}01^{12}
hg38.chr22     	phRAIDER       	9              	42             	40             	0.952          	2              	0.145          	0.827          	41             	2656403456     	2780614656     	0.973          	0.477          		1^{13}01^{13}101^{13}
hg38.chr22     	phRAIDER       	2              	42             	40             	0.952          	2              	0.145          	0.835          	41             	1655189504     	1777532928     	0.972          	0.476          		1^{9}01^{9}1^{9}1^{4}01^{9}
hg38.chr22     	phRAIDER       	3              	42             	40             	0.952          	2              	0.145          	0.833          	40             	2949492736     	3071782912     	0.973          	0.478          		1^{17}01^{6}01^{17}
hg38.chr22     	phRAIDER       	12             	42             	40             	0.952          	2              	0.144          	0.817          	43             	2656100352     	2778431488     	0.972          	0.475          		1^{5}01^{5}1^{5}1^{5}1^{5}1^{5}1^{5}01^{5}
hg38.chr22     	phRAIDER       	13             	42             	40             	0.952          	2              	0.145          	0.829          	45             	2655760384     	2890719232     	0.972          	0.477          		1^{10}01^{10}1^{10}01^{10}
hg38.chr22     	phRAIDER       	6              	42             	40             	0.952          	2              	0.144          	0.796          	43             	2655023104     	2777964544     	0.971          	0.474          		1101^{36}011
hg38.chr22     	phRAIDER       	7              	42             	40             	0.952          	2              	0.146          	0.81           	41             	2656436224     	2780647424     	0.973          	0.478          		1^{15}01^{10}01^{15}
hg38.chr22     	phRAIDER       	1              	42             	40             	0.952          	2              	0.144          	0.802          	43             	2656002048     	2778349568     	0.972          	0.475          		1^{4}01^{4}1^{4}1^{4}1^{4}1^{4}1^{4}1^{4}1^{4}01^{4}
hg38.chr22     	phRAIDER       	24             	44             	40             	0.909          	2              	0.146          	0.797          	43             	2659569664     	2782093312     	0.974          	0.482          		1^{12}01^{6}01^{4}01^{6}01^{12}
hg38.chr22     	phRAIDER       	25             	44             	40             	0.909          	2              	0.147          	0.835          	43             	2847408128     	2969993216     	0.973          	0.481          		1^{7}01^{7}1^{5}01101^{7}1^{5}01^{7}
hg38.chr22     	phRAIDER       	18             	44             	40             	0.909          	2              	0.144          	0.835          	42             	2656800768     	2779148288     	0.972          	0.479          		101^{4}01^{4}1^{4}1^{4}1^{4}1^{4}1^{4}1^{4}1101^{4}01
hg38.chr22     	phRAIDER       	19             	44             	40             	0.909          	2              	0.146          	0.817          	42             	2769367040     	2891980800     	0.974          	0.483          		1^{14}01^{4}01^{4}01^{4}01^{14}
hg38.chr22     	phRAIDER       	22             	44             	40             	0.909          	2              	0.144          	0.806          	43             	2948243456     	3070541824     	0.972          	0.478          		101101^{34}01101
hg38.chr22     	phRAIDER       	23             	44             	40             	0.909          	2              	0.145          	0.82           	46             	2656337920     	2779222016     	0.972          	0.478          		1^{3}0101^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}1^{3}110101^{3}
hg38.chr22     	phRAIDER       	16             	44             	40             	0.909          	2              	0.147          	0.823          	42             	2944466944     	3068653568     	0.973          	0.482          		1^{6}01^{6}1101^{6}1^{6}01^{6}1101^{6}
hg38.chr22     	phRAIDER       	17             	44             	40             	0.909          	2              	0.146          	0.838          	42             	2658897920     	2781491200     	0.973          	0.482          		1^{4}01^{4}1^{4}1^{4}1^{3}01101^{4}1^{4}1^{4}1^{3}01^{4}
hg38.chr22     	phRAIDER       	20             	44             	40             	0.909          	2              	0.145          	0.808          	42             	2846437376     	2970406912     	0.972          	0.479          		1101^{6}01^{6}1^{6}1^{6}1^{6}01^{6}011
hg38.chr22     	phRAIDER       	21             	44             	40             	0.909          	2              	0.146          	0.765          	43             	2950873088     	3073351680     	0.973          	0.482          		1^{9}01^{9}11001^{9}1101^{9}
hg38.chr22     	phRAIDER       	26             	46             	40             	0.87           	2              	0.147          	0.832          	43             	2659422208     	2781908992     	0.973          	0.485          		1^{6}0101^{6}1^{6}01101^{6}1^{6}0101^{6}
hg38.chr22     	phRAIDER       	27             	46             	40             	0.87           	2              	0.146          	0.786          	42             	2659213312     	2781675520     	0.973          	0.485          		101^{7}01^{7}1^{4}01101^{7}1^{4}01^{7}01
hg38.chr22     	phRAIDER       	30             	46             	40             	0.87           	2              	0.148          	0.781          	43             	2815279104     	2937802752     	0.975          	0.487          		1^{14}01101101^{4}01101101^{14}
hg38.chr22     	phRAIDER       	28             	46             	40             	0.87           	2              	0.146          	0.822          	44             	2950664192     	3073187840     	0.973          	0.485          		1^{5}001^{5}01^{5}1^{5}1^{5}1^{5}01^{5}001^{5}
hg38.chr22     	phRAIDER       	29             	46             	40             	0.87           	2              	0.147          	0.789          	44             	2660118528     	2782601216     	0.974          	0.486          		1^{6}01^{6}1^{5}01^{3}001^{3}01^{6}1^{5}01^{6}
hg38.chr22     	phRAIDER       	34             	48             	40             	0.833          	2              	0.148          	0.788          	43             	2659139584     	2783293440     	0.974          	0.489          		1^{5}01101^{5}1101^{5}1001^{5}101^{5}1101101^{5}
hg38.chr22     	phRAIDER       	35             	48             	40             	0.833          	2              	0.145          	0.779          	43             	2840559616     	2963116032     	0.974          	0.488          		1^{8}001^{8}10101^{4}0101^{8}1001^{8}
hg38.chr22     	phRAIDER       	38             	48             	40             	0.833          	2              	0.148          	0.829          	44             	2870202368     	2992779264     	0.975          	0.49           		101^{10}01101^{6}01101^{6}01101^{10}01
hg38.chr22     	phRAIDER       	39             	48             	40             	0.833          	2              	0.148          	0.817          	45             	2941751296     	3064250368     	0.973          	0.488          		110101^{5}01^{5}01^{5}1^{5}1^{4}01^{5}01^{5}01011
hg38.chr22     	phRAIDER       	32             	48             	40             	0.833          	2              	0.148          	0.791          	43             	2661457920     	2784022528     	0.976          	0.49           		1^{9}01^{3}01101^{3}01^{3}1^{3}01^{3}01101^{3}01^{9}
hg38.chr22     	phRAIDER       	33             	48             	40             	0.833          	2              	0.147          	0.812          	48             	2657177600     	2782638080     	0.973          	0.487          		1^{3}01^{3}10101^{3}1^{3}1^{3}101^{3}101^{3}1^{3}1^{3}10101^{3}101^{3}
hg38.chr22     	phRAIDER       	31             	48             	40             	0.833          	2              	0.147          	0.813          	46             	2659856384     	2783023104     	0.974          	0.489          		101^{3}01^{3}1^{3}1101^{3}01^{3}1^{3}1^{3}101^{3}01^{3}1^{3}1101^{3}01
hg38.chr22     	phRAIDER       	36             	48             	40             	0.833          	2              	0.147          	0.823          	45             	2394845184     	2517340160     	0.974          	0.49           		1^{7}0101^{6}01^{3}01^{6}01^{3}01^{6}0101^{7}
